stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1143.6,27111.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14090.57,0,0,0,0,0,0,0,0,0
  5-6,1117.76,13135.43,0,10.71,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,273.09,20.05,0,0,81.94,0,19965.44,0,0,0,0,0,0,0,0,0
  7-9,16.64,10.17,0,38.67,0,0,0,106.27,0,0,0,0,0,36.52,0,0,0,0,0,0,0,0,0,0,0,674.92,13.71,0,0,142.78,0,1552.82,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.39,0,0,0,0,0,13.11,0,0,0,0,0,0,0,0,0,0,0,170.35,7.81,0,0,48.66,0,241.93,0,8.84,0,8.22,0,0,0,0,0
 14-21,0,0,0,13.7,733.86,16.93,0,11.93,0,4.07,0,0,93.07,1.93,0,0,4.66,0,0,0,0,11.28,79.16,0,1.22,123.83,20.4,9.33,193.33,1.06,0,12846.3,16.7,0,3.33,13.67,33.24,0,3.65,0,0
 24-34,0,0,0,1.83,118.6,1.7,0,12.99,0,6.2,0,0.66,2.53,0.91,0,0,11.71,0,14.58,0.86,0,9.92,60.56,0,12.88,245.14,2.17,39.14,31.8,0,0,6368.03,0,0.63,0,1.45,46.04,0,9.97,0,0
 36-46,0,0,0,0,239.62,0.68,0,19.34,1.68,39.54,0,5.15,1.31,0,2.99,0,3.73,0,5.97,0,8.54,20.68,86.08,0,3.56,203.23,0.56,19.28,27.83,0,0,6992.99,0,0.82,0.97,0,25.79,0,7.92,0,9.34
 48-58,0,0,0,0,245.29,0,0,55.75,0,64.84,0.76,17.19,6.28,0.37,0,0,4.06,0,4.67,0,0.4,10.13,44.41,0,0.38,129.72,0.51,12.83,34.42,0,0,4197.64,0,0,0,0,37.83,0,6.05,0,12.91
 60-70,0,0,0,0,404.04,0,0,70.96,0,76.66,0,13.01,0.64,8.56,0,0,28.76,0,5.88,0,0,21.87,20.56,1.34,1.76,98.74,0,12.88,45.02,0,0,4018.71,0,0.59,0,0,22.4,12.07,1.08,0,0
 72-82,0,0,0,0,487.36,1.45,0,77.55,0,84.28,2.49,3.54,18.24,0.74,1.08,1.1,37.66,2.79,1.6,3.08,0,13.17,27.15,0,1.99,127.58,3.03,9.21,27.49,0,1.1,3213.22,0,0,4.35,0,14.07,12.8,1.16,2.07,5.53
 84-94,0,0,3.68,0,965.15,3.94,0,64.92,0,217.04,0,13.64,22.53,0,0,2.59,134.71,0,0.9,0.74,0,29.12,42.65,0,2.32,80.78,0,48.13,25.79,0,0,8604.37,0,0,0,0,3.46,48.75,2.9,0,0.62
 96-106,0,0,1.99,0,1068.4,11.78,2.52,103.09,0,274.47,4.81,9.86,64.88,0,0,7.58,153.04,1.9,12.86,32.66,0,49.25,105.66,0,8.23,309.47,0,70.18,37.74,0,0,9249.87,0,2.94,0.92,0,17.29,32.68,1.03,0.69,6.8
108-118,0,0,0,0,1246.11,18.03,5.71,83.58,3.19,717.74,4.27,22.47,84.67,0,0,5.19,338.72,0.64,14.42,3.93,0,65.16,244.01,0,2.16,238.34,0,69.72,46.75,0,0,12283.53,0,0.5,0,0,1.98,57.08,10.15,5.35,5.94
120,0,0,0,4.41,696.03,1.39,0,47.78,0,312.31,0,7.25,18.49,0,4.47,0,101.35,3.57,0,0,0,54.93,80.75,1.83,0,122.04,1.18,29.98,37.92,0,17.26,4517.55,0,4.93,0,0,2.14,20.33,0,0,8.94
