stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,45.76,82.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.43,106.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,11.17,0,0,0,0,0,0,0,0,0
  7-9,0,5.39,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,89.81,7.75,0,0,31.79,0,0,0,0,0,0
 10-12,0,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,0,62.6,13.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.71,1.41,0,0,2,0,0,0,0,0,0,2.44,0,26.49,0,0,0,0.95,0,1.98,0,10.75,0,0
 24-34,0,0,0.81,13.16,3.2,0,0,0.75,0,0,1.01,0,0,2.59,5.5,0.62,36.47,0,0,0,0,1.33,0,0,8.67,0,0
 36-46,0,0,0,6.17,16.51,0,0,10.93,0,0,0,0,0,0,4.04,0,25.18,0,0,0,0,0,0,0,6.9,0.92,0
 48-58,0,0,0,1.38,12.41,0,0.64,4.91,0.38,0,5.2,0,0,0,6.66,0.42,14.67,0,1.01,0,0,1.73,0,0,1.87,0,0
 60-70,0,0,0,3.2,12.26,0,0,6.49,0,0,1.74,0,0,0,5.09,1.44,55.18,0,0.89,0.99,0,1.21,0,0,3.66,0,0
 72-82,0,0,0,2.85,14.09,0,0,2.63,0.86,0,1.98,0,0,0,2.75,0.56,17.6,0,0,0,0,1.63,0,0,0,0,0
 84-94,0,0,0,3.36,18,0,1.65,0,0,0,2.16,0,0,0,18.71,0.67,18.49,0,0,0,0,3.24,0,0,8.08,1.35,0
 96-106,0,0,0,1.27,12.62,0,0,8.31,0,0,0.7,0,0,0,11.05,0,17.91,0,0,0,0,3.49,0,5.67,0,1.2,0
108-118,0,0,0,1.62,2.92,4.65,0,1.78,1.29,0,2.96,0,0,0,1.46,0.52,27.12,0,0,0,0,0,0,0,0,0.96,1.81
120,0,0,0,5.91,7.17,0,0,4.18,0,0,1.43,1.1,1.18,0,0,0,32.66,0,0,0,0,0,0,9.87,7.12,0,0
