stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,neural,olfactory,otic,pericytes,periderm,spinal_cord,xanthophores
 14-21,0.81,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0
 24-34,3.49,0,2,0,0,0,0,0,0,0,0,13.32,0,0,0,0.66,0.81,0
 36-46,4.59,0,1.29,0,0,0,0,0,0,0,0,6.7,0,0,0,0,4.84,0
 48-58,0.89,0,3.25,0,1.63,0,4.03,0,0,0.43,0,6.52,3.54,0,0,3.33,0.61,0
 60-70,2.17,0,15.07,0,6.34,0.85,0,0,0,0.9,0,7.13,0,0,0,5.68,0,0
 72-82,0,0.89,1.92,0,2.63,0,6.19,0,0,1.37,0,4.73,1.14,0,0,0,0,0
 84-94,0,0.66,0,0,3.37,0,0.69,1.02,0,2.06,0,0,6.67,2.33,1.53,7.13,0,0
 96-106,0,0,3.93,0,0,0,0,0,0,0,0,1.88,2.4,0,0,3.01,0,2.89
108-118,13.66,0,0,0.72,0,0,0,0,0,1.32,0.5,5.07,4.59,0,0,1.19,0,0
120,2.12,0,1.38,0,14.36,6.94,0,0,3.53,2.83,0,6.33,0,0,0,6.91,0,0
