stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,24.05,151.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0
  5-6,6.59,126.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.04,0,6.84,0,0,21.23,0,0,0,0,0,0,0,0,0,0,0,121.28,3.99,0,0,49.49,0,0,0,0,0,0
 10-12,0,21.28,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,106.57,9.58,0,0,25.82,0,0,0,0,0,0
 14-21,0,0,0,3.5,1.94,4.96,0,0,0,0,0,0,0,1.26,4.87,0,4.32,37.7,0,0,0,0,1,9.82,1.89,5.86,0,0
 24-34,0,0,0,0,0,4.49,0,0.63,0.7,0,0,0,0,0,7.35,0.61,3.28,39.41,0,0.78,1.5,0,0.68,0,0.61,12.3,0,3.18
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,2.41,0,0.58,15.8,0,0,0,0,11.5,0,0,0,0,0
 48-58,0,0,0,0,0,2.46,0,0,1.31,0,6.97,0,0,0,3.28,0,0.58,16.55,0,0,0,0,3.76,0,0,0,0,0
 60-70,0,0,0,4.93,0,2.45,0.94,0,3.09,0,0,0,1.93,0,1.02,0,0.77,1.81,0,0,0,0,5.04,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.4,0,0,0.97,0.57,0,1.78,0,0,9.7,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.67,0,0,0,0,0,5.32,0,4.29,0,0,3.11,0,0,0.88,0,0,0,0,0,0,0
 96-106,0,0,0,0.94,0,0,0,0,0,0,0,0,1.3,0,5.05,0,0,5.96,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.73,0,0.69,0.68,0,2.09,0.45,0,0.78,5.32,0,7.49,0,0,8.63,0,0,0,0,2.36,0,0,0,0,7.12
120,0,0,0,3.65,0,1.45,5.28,0,2.5,0,0,0,5.24,0,0,0,7.11,17.64,3.25,0,0,0,2.43,0,0,0,6.69,0
