stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,19.82,46.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,187.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.38,0,0,0,17.54,0,0,0,0,0,0,0,0,0
 10-12,0,17.46,54.11,0,0,1973.2,0,0,0,0,0,85.09,0,0,0,0,0,0,0,0,0,0,0,6612.63,0,0,0,86.25,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,62.27,11.01,27.72,0,0,0,14.96,0,1.41,0,0,0,0,0,0,0,37.13,0,0,5.08,5290.04,2.92,0,0,0.8,2.75,1.94,1.45,14.11,0,313.76,0,1.94,0
 24-34,0,0,1.2,77.1,0,22.85,0,0,0,21.41,1.88,3.64,0,0,3.41,0,0,0,0,14.7,0,0,6.93,5872.11,0.67,1.32,0,0,0.61,0,0.69,3.93,1.04,626.6,0,5.02,0
 36-46,0,0,0,28.89,0.59,38.03,0,0,0,56.04,0,0,0,0,0,0,0,0,1.89,14.31,0,0,4.19,5193.44,6.69,0.56,0.74,0,2.84,0,0,0,1.04,371.25,0,3.09,0
 48-58,0,0,5.59,26.72,1.97,48.72,0,0,0.42,156.97,0,0,0,0,0,1.08,0.84,0.43,0,4.45,0,0,0,4004.33,0,0,0.4,0,2.57,0,0,0,0,108.08,0,0,0
 60-70,0,0,5.62,5.42,0,88.24,0,0,0,311.65,0,0,0,0,0,0,0,0,0,9.59,0,0,0,2763.16,0,0,0,0,0,0,0,0,0,54.69,0,0,0
 72-82,0,0,16.46,16.11,0.57,95.43,0,5.6,0,339.39,0,0,0,0.5,0,0,0,0,0,13.93,0,1.45,3.54,2014.75,0,0,1.16,0,0.62,0,0,0,0,2.83,0,8.3,2.89
 84-94,0,0,18.24,14.99,0,177.83,0,3.06,0.97,271.77,2.79,0,0,0,0,0.67,0,0,0,15.21,0,0,0.58,1803.44,0,0,1.87,0,1.74,0,0,0,0,75.7,0.81,0,0
 96-106,0,0,11.9,19.33,1.27,91.89,0.76,0.93,0,215.84,0,0,0,1.8,0,0,0,0,0,8.95,4.67,1.09,1.81,1407.81,0,0,0,0,2.2,0,0,0,0,15.05,0,0.77,0
108-118,0,0,49.22,23.39,0,21.4,0,1.29,0.84,325.57,0,0,2.87,1.07,0,8.02,0,0,0,11.58,0,0,0,1729.65,0,4.26,0,0,0,0,0.51,0,0,2.41,0,0,0
120,0,0,7.66,18.36,0,131.81,2.24,4,0,446.35,0,0,0,2.16,0,0,0,0,0,0,0,0,0,2401.16,0,0,0,0,0,0,0,1.63,0,9.4,0,0,0
