stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,51.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,9.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,4.02,0,0,0,0,0,0,0,0
 14-21,0,3.34,0,0,1.8,0,0,0,0,0,0.88,17.82,0,0,0,0,1.79,5.62,1.28,0.84,3.45,5.88,0,0
 24-34,0,0,0,1.44,0,0,0,0,0,0,1.19,12.1,0,0,0,0,1.03,0,0,0,0.6,3.88,0.64,0
 36-46,0,0,0,1.85,2.93,0,0,0,0.91,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.42,0,10.81,0,0,0,0,1.4,0,0.87,7.59,4.07,1.04,0,0,0,0,0,0,0,1.7,0,0
 60-70,0,0,0,5.32,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.44,1.54,0,0,0,4.63,0,0.63,0.66,0,0,1.32,0,0,0,0,0,0,0,1.56,0
 84-94,0,0,0,0.8,0,0,0,0,0,0.63,0.95,4.54,1.8,0,0,0,0,0,0,0,0,0.61,0,0
 96-106,0,0.99,0,6.48,0,0.62,2.08,0.6,2.13,0,1.42,4.4,0,0,0.64,0,0,0,0,0,0,0,0,4.24
108-118,0,0,0.72,0.5,2.88,0,0,0,3.33,0,0,0.94,0,0,0,0,1.01,0,0,0,0,0,0,0
120,0,1.53,0,2.49,10.09,0,0,0,4.16,0,6.51,16.53,0,0,0,0,0,0,0,0,0,0,0,0
