stage,axial,blastomeres,epidermis,eye,glial,gut,immune,mesenchyme,neural,notochord,otic,spinal.cord
  3-4,0,13,0,0,0,0,0,0,0,0,0,0
  5-6,10.55,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.24,0,0,0
 10-12,0,0,0,0,0,0,0,0,25.37,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.29,0,0
 36-46,0,0,0,0,0,0,0,0,1.82,0,0,0
 48-58,0,0,0,0,0,0,0,0,5.89,0,0.46,0
 60-70,0,0,5.42,8.91,0,0,0,0,19.62,0,0,0
 72-82,0,0,0,4.63,1.5,0,2.22,0,29.34,0,0,0
 84-94,0,0,0,4.45,2.99,1.57,0,0.85,24.32,0,0,0
 96-106,0,0,0,3.63,0,0,0,0,38.86,0,0,2
108-118,0,0,3.53,6.35,5.06,0,0,0,52.3,0,0,0
120,0,0,0,0,0,0,0,0,74.55,0,0,0
