stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.24,549.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,320.31,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,30.9,0,0,0,11.07,0,6.16,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.34,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.74,3.27,0,0,8.89,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.9,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.23,0,0,0,16.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.87,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,1.92,0,0,1.67,37.18,0.9,0,0.89,0,0,7.47,0,1.95,0,1.06,0.98,13.1,0,0,0,0,0
 24-34,0,0,0,0.61,8.38,0,0,4.94,0,0,0,0,0,0.82,1.08,0.83,0,1.73,2.83,0,2.28,0,0,5.12,85.08,0,0,1.38,0,0,19.74,0,0,6.06,0,0,22.42,0,0,16.1,0,1.49
 36-46,0,0,0,0,0.61,0,0,20.59,2.83,0,2.23,0,0,0,0,1.23,0,1.36,10.7,0,8.47,6.77,0,0.7,63.37,0,1.78,0.58,0,0,20.94,0,0,16.51,0,0,14.1,0,0,4.95,0,0
 48-58,0,0,0.44,0,6.33,0,0,35.15,0,0,13.16,0,0,1.16,2.34,0,0.98,0.41,18.68,0,9.28,0.52,0.78,3.03,62.36,0,1.26,0.99,0,0,13.42,0,0,8.07,0,0,9.95,0,0,0.41,0,7.19
 60-70,0,0,0,0,1.59,0,0,50.58,0,0,11.89,17.31,0,0,9.9,0,0,2.83,35.58,0,21.18,2,0,7.6,41.7,1.45,3.11,0,0,0,17.01,0,0,21.29,0,0,4.38,0,0,7.49,0,0
 72-82,0,0,1.78,0,4.22,15.95,0,26.51,2.09,0,18.7,94.94,0,0,7.11,0.72,5.98,0,232.78,0,29.23,6.58,0,1.81,75.09,0,4.72,2.12,0,0,23.73,0,0,124.16,0,0,7.9,1.62,1.42,14.19,0,0
 84-94,0,0,2.22,0,7.11,7.15,0,38.34,0.58,2.13,18.71,231.33,0.6,0,22.5,2.16,0,2.18,736.93,0,26.29,3.33,3.16,0,95.69,0,3.01,2.81,0,0,49.4,0,0,290.36,0,0,0,3.07,0,7.56,0,0
 96-106,0,0,2.95,0,9.83,17.16,0,70.28,2.08,0,40.08,366.19,0,1.45,28.63,2.15,0,5.16,1108.06,1.3,44.48,11.33,2.21,6.58,193.9,0.91,4.94,3.63,0,1.82,23.59,0,0,369.67,0,0,14.98,2.69,1.18,20.06,0,2.98
108-118,0,0,1.78,0,10.17,7.91,3.35,67.17,2.89,1.15,32.78,481.05,0,0,13.03,2.48,4.57,2.94,2144.33,3.79,38.82,2.86,5,2.94,177.38,0,0,1.61,0,0,27.42,0,0,355.9,0,0,4.11,3.32,0,11.8,0,0
120,0,0,0,0,1.14,0,0,6.92,1.23,0,14.97,288.55,0,0,33.53,6.07,6.51,2.39,788.72,0,7.54,0,0,3.21,79.89,0,7.53,0,0,19.49,22.66,0,0,234.08,0,0,0,0,0,20.17,7.07,0
