stage,epidermis,erythrocytes,eye,glial,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 24-34,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,4.43,0,0,0,1.25,0,0,0
 48-58,0,0,0,0,0,0,0,0,15.97,0,0,0,1.01,0,0.82,1.66
 60-70,0,0,0,0,0,0,0,1.63,38.55,0.59,0,0,0,0.7,1.03,0
 72-82,0,0,1.09,0,0.55,6.81,0,1.95,25.64,2.31,0,0,0,0,2.91,0
 84-94,0,0,0,0,1.78,2.47,1.25,0,70.81,0.72,1.98,0,0,1.8,5.89,0
 96-106,1.41,4.49,0.58,0,0,7.94,0,0,4.84,4.01,0,3.08,0,0,0.6,0
108-118,0,0,0,1.66,0,27.36,0,2.7,20.39,0.46,3.48,0,0,0,12.38,1.56
120,0,0,0,0,5.2,33.44,0,0,15.23,6.95,0,1.24,0,0,0,0
