stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,iridophores,mesenchyme,muscle,neural,olfactory,periderm,somites,spinal.cord,vasculature
 14-21,0,5.36,0,0,0,0,0,0,0,0.92,1.12,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.85,0,4.2,0,0,0.73,1.01,0
 36-46,0,0,0.59,0,0,0,0,0,0,0,8.17,0.59,1.1,0,3.26,1.03
 48-58,0,0,6.03,0,0,0,0,0,0,0.42,3.96,1.06,0,0,2.01,0
 60-70,0,0,0.82,0,0,0,0,0,0,0,7.88,0,0,0,1.56,0
 72-82,0,0,0.9,0,0,0.75,0,0,2.93,0,7.83,1.09,0,0,0,0
 84-94,0.62,0,6.37,2.09,0,0,1.16,0,3.8,0,0,6.22,0,0,0,0
 96-106,0,0,0,0,2.77,0,0,0,0,0,8.52,0.57,0,0,0,0
108-118,0,1.34,8.2,0,0,0,0,0.92,2.52,0,3,0,4.13,0,0.42,0
120,0,0,5.97,0,0,0,0,0,4.54,0,27.74,0,0,0,0,0
