stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,neural,olfactory,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,1.3,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,1.22,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0,0.78,0,0
 36-46,0,1.32,0,0,0,0,0,0,0,0,0.66,0,0,6.03,0,1.2,0,5.12,0,0
 48-58,0,0.47,0,0,0,0,0,0,0,0,0,0,0,7.19,1.07,0,0,0.49,0,0
 60-70,0,0,18.2,0,0.84,0.58,0,0,0,0,0.83,0,0,15.74,1.69,0,0,0,0,0
 72-82,0,2.2,1.66,0,0,1.21,0,0,0,0,1.56,0,1.4,4.45,0,0,0,2.97,0,8.46
 84-94,0,0,2.01,0,0,3.4,0,0,0,0,11.49,0,0,7.1,0,2.2,0,0,0,0
 96-106,0,3.07,0,0,0,4.81,0,1.48,0,0,2.35,0,0,0,0,1.59,0,0,0,0
108-118,0,3.44,7.36,0.46,0,5.34,0,0,0.63,0.56,1.78,0,0,19.32,0,2.44,0,0,4.33,0
120,0,2.04,12.43,0,0,0,5.73,2.44,0,1.05,0,3.7,0,5.55,0,0,0,0,0,0
