stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,205.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.54,68.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.25,0,6.65,0,0,4.02,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,127.38,0,0,0,49.59,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.23,0,40.16,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146.4,0,0,0,47.75,0,0,0,7.91,0,0,0,0,0,0
 14-21,0,0,0,0,1367.98,1.08,0,0,0,0,0,0,0,0,11.46,0,0,0.97,0.9,4.26,0,0,6.41,14.42,0,0,0,0,8.56,1.37,0,2.68,2.37,0,0,0,0
 24-34,0,0,0,0,367.84,0,0,0,0,0,0,0,0,0,0.6,0,3.17,0,0,3.66,0,0.86,34.76,0,0.77,0,0,0,0.88,0,0,0,0.89,0,0,0,0
 36-46,0,0,0,0,273.13,0,0,0,0.59,2.12,0,0,0,0,0,0,0.77,0,1.66,8.74,0,0,7.61,0,4.2,0,0,0,2.79,0,1.31,0,2.05,0,0,0,0
 48-58,0,0,0,0,457.07,0,5.9,0,9.9,1.79,0,0.75,0,0,3.42,0,0,7.7,0.67,1.65,0,0,26.91,0,2.74,0,0,0,0,0,0,0,5.88,0,0.81,0,0
 60-70,0,0,0,0,470.52,0,15.09,0,20.19,5.92,1.72,0,0,0,7.82,0,0,0,3.09,2.57,0,0,31,0.58,3.48,0,0,0,1.68,0,0,0,4.7,10.3,0,0,0
 72-82,0,0,0,0,461.29,0,13.73,0,9.66,4.08,21.49,0,2.13,2.03,4.07,0,2.95,0,16.44,12.41,2.22,1.34,30.97,0,6.78,0.97,0,1.05,4.52,0,0,0,3.34,42.56,0.68,0.62,1.68
 84-94,0,0,2.09,0,837.46,0,31.32,0.7,27.47,0.68,26.66,0,0,1.47,12.98,7,0,0,2.76,5.37,0,0.79,63.32,0,11.79,0.81,0,0,13.53,0,0,0,1.59,133.04,0,1.46,0
 96-106,0,0,3.62,0,522.38,0,19.33,0,13.72,0,76.83,0,0,4.17,10.32,0,1.96,10.33,12.23,5.11,0,1.46,26.32,2.25,26,0,0,0,21.24,0,0.62,0,0,85.57,0,0,0
108-118,0.67,0,0,0,435.01,0,10.52,0,7.56,2.15,62.82,0,0,2.16,7.07,0.59,3.47,1.1,17.97,2.39,0,0.42,21.52,0,16.39,0,0,0,12.71,0,2.85,0,0,36.81,1.3,0,0
120,1.12,0,0,0,338.19,0,0,0,9.27,11.16,73.27,0,13.33,0,3.07,0,4.23,0,4.03,3.94,0,0,15.28,0,18.07,0,0,0,1.01,0,0,0,0,7.6,0,9.78,0
