stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.57,120.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7854.5,2.02,1.96,1.22,0,1.36,0,0,0,0,0,5.32,0,0,0,0,0,0,1.13,0,0,0,0,62.86,0,0,0,0,0,590.91,8.36,0,0,0,13.68,0,0,0.86,0,0
 24-34,0,0,6299.29,1.3,5.03,0.79,0,7.96,0,0,0,4.59,1.27,0,0,0.87,0,0,0,0,0,14.05,0,0,0.87,145.71,0.64,0,0,0,13.2,0,1.61,2.97,14.22,1.47,32.44,0,0,20.54,0,0
 36-46,0,0,12079.21,0,12.93,0,0,15.03,0,0,1.9,0.7,0,0,0,0,0,0,0,0,11.02,10.97,0,0,0.98,141.18,0.56,0,1.46,0,11.45,0,0,0,0,0,33.29,0,0,2.5,0,0
 48-58,0,0,11274.47,0,6.49,0.84,0,98.56,0,0,0,13.67,0,0,0,1.37,0,0,1.09,1.47,7.08,18.58,1.17,0.56,3.21,1614.53,0.66,2.15,0.91,0,9.13,0,0,0.8,0,0,52.39,0,0,7.28,0,7.31
 60-70,0,0,55.28,0,884.84,0,0,63.34,0,0,0.93,13.52,0,0,0,0,0,0,0,0,0,34.57,0,0,2.37,2883.02,19.08,0,0.9,0,8.31,0,0,0,4.56,0,28.56,0,0,5.26,0,0
 72-82,0,0,6765.94,0,11.5,11.57,0,114.65,4.55,0,0.51,20.73,0,0,0,2.03,0.66,3.64,1.7,0,0,25.5,2.18,4.69,3.76,208.86,0,0.97,0.76,2.75,5.63,0,0,4.04,0,0,10.48,0,0,3.33,0.96,47.48
 84-94,0,0,6575.24,0,6.79,6.32,0.92,2361.22,9.11,1.25,0,7.48,0,0,0,7.04,1.12,0,0.67,0,6.93,19.05,3.28,0,0.68,108.06,0.74,0,2.75,0,16.28,0,0,1.6,0,0,0,0,0,7.28,3.95,0
 96-106,0,0,15170.56,0,23.02,32.19,0.74,118.37,12.15,1428.54,0,44.22,3.65,0,4.99,3.83,2.3,6.48,1.05,8.78,1.99,73.27,1.9,2.37,11.66,174.53,0,8.62,4.53,0,28.72,0,0,1.58,0.57,0,9.52,0,0,23.87,1.28,7.86
108-118,0,0,21473.79,0,69.25,1156.3,2.76,178.45,0,7,4.39,106.74,1.31,0,3.39,7.87,0.91,4.25,1.22,16.09,1.18,190.73,1.91,15.54,19.06,1718.08,1.46,2.92,3.04,3.95,66.21,0,0,0.42,0,0,22.86,9.12,6.94,73.02,5.06,35.17
120,0,0,3013.96,0,24.42,7.45,0,259.53,0,2.24,0,106.47,3.85,0,0,8.2,0,3.13,0,0,0,69.93,0,0,1660.72,10351.77,10.25,0,8.92,8.63,38.27,0,0,11.08,1.47,0,2.14,0,0,5.84,0,2.59
