stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.14,777.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0
  5-6,44.3,816.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,9.71,0,6.65,0,0,0,0,0,0,0,13.44,0,0,0,0,0,0,0,0,185.55,3.34,0,0,113.04,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.56,0,0,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,138.14,0,0,0,127.43,0,0,0,0,37.74,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.54,7.33,4.58,0,0,0.99,0,0,0,0,0,0,9.86,0,0,7.69,27.82,0,0,1.14,0,0,0,1.23,11.42,0,3.82,8.83,0,0,0,0,0
 24-34,0,0,0.71,0,0.66,2.2,2.06,0,0,0,0,0,0.62,0,0,0,21.74,0,0,8.02,21.84,0.75,0,1.28,0,0,1.98,0,0,0,0.7,4.62,0,0,15.26,0,0.96
 36-46,0,0,0,0,0,0,2.98,0,0,0.77,0,0,0,2.46,0,0,15.87,0,3.52,5.06,32.04,2.23,0,0,5.14,0,0,0,0,0,1.38,1.4,0,0,4.41,0,0
 48-58,0,0,0,0,1.26,0,0.41,0,0.97,1.46,0,0,0.94,0.37,0,0,16.04,0,5.66,2.86,7.8,0,0,0,0,0,0,0.98,0,0,0,1.69,0,0,15.43,0,0
 60-70,0,0,0.62,0,0,0,3.11,0,0,6.37,5.29,0,0,0,0,0,31.25,0,4.25,2.67,17.94,0.63,0,0,0,0,0,0,0,0,0,0.84,0,0,27.04,0.73,1.18
 72-82,0,0,1.69,0,0,0.57,3.69,0,0,10.78,1.41,0,2.9,2.55,0,0.96,52.67,0,0,6.93,13.98,0,0,0,0,0,0.57,0,0,0,0,1.06,0,0,22.44,3.31,0
 84-94,0,0,0,0,0.88,0.84,4,0,0.82,4.2,3.16,0,0,8.26,0,0,36.4,0,9.53,8.86,20.71,0,0,5.97,0,0,1,0,0,0,0,0.9,0,0,17.97,7.94,0
 96-106,0,0,4.74,0,1.67,2.39,0,0,2.05,9.82,7.76,0,2.58,12.59,0,1.25,34.08,1.65,5.14,6.08,45.02,0,0.57,0.79,0,0,14.9,3.82,0,0,0,0,0,0.92,18.67,2.95,9.42
108-118,0,0,0,0,1.38,2.99,3.07,0.57,0.78,14.53,11.51,0,3.04,8.02,3.34,0,47.34,0,4.57,5.02,23.23,1.52,0.51,1.81,0,3.48,8.6,0,0,0,0,1.9,1.4,0,24.97,0.61,6.12
120,0,0,1.22,0,15.71,1.2,2.69,0,0,8.91,4.37,0,0,26.98,0,0,40.73,0,27.69,4.95,51.31,0,0,0,0,0,16.14,0,0,0,0,15.97,0,0,13.18,1.8,0
