stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,7.06,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,93.34,244.42,0,0,0,0,0,0
 24-34,0,0.66,1.27,0,3.28,266.56,0,0,1.64,0,0,0,0,0,0,0,8.12,1.29,5.08,0,0,42.89,77.81,0,0,0.82,0,0,3.38,64.47,361.29,12.74,0,0,16.76,0,0
 36-46,0,0,0.63,0,7.29,486.14,0,0,1.41,0,0,0,0,0,0,0,8.48,0,6.3,1.01,0,46.72,68.8,0,1.48,0.57,0,0,1.94,35.32,22.47,11.43,0,0,0,0,0
 48-58,0,0,0.41,0,37.63,390.19,0,2.31,5.05,0,0,0,0,0,0,0,0,1.12,10.83,0,0.74,14.16,87.14,0.92,1.22,0,0,0,2.28,12.94,0,13.05,0,0,0,0,4.24
 60-70,0,0,0,0,39.83,273.65,0,0,2.3,0,4.08,0,0,0,2.79,0,0,4.38,17.3,0,0.89,16.36,71.96,2.55,0,0,5.14,0,6.48,5.37,0,7.93,0,0,0,0,5.4
 72-82,0,0,3.75,0.84,34.84,231.63,0,0,3.91,0,0,1.8,1.87,0,0,0,0,8.68,10.29,0,0,23.2,75.2,0,0,1.16,0,0,3.72,3.34,0,8.58,0,0,2.1,5.21,0
 84-94,0,0,0.72,13.75,31.22,344.98,0.86,0,15.91,0,0,0,0.58,0.75,0,0,0,2.53,16.25,0,2.56,8.93,70.62,0,2.66,0,0,0,14.61,6.84,0,8.48,0,4.83,0,5.1,0
 96-106,0,2.21,9.28,33.74,112.16,664.36,0,1.54,16.85,2.91,0,0,2.1,0,0,0.59,3.76,0,38.49,1.75,0,22.24,131.29,0.57,2.02,8.89,0,3.14,26.19,6.62,0,1.43,0.56,4.61,2.55,20.96,9.32
108-118,0,0,6.48,9.24,45.02,477.15,3.22,1.52,17.21,0.81,0,0,0.64,0,1.13,0,5.63,0,37.24,7.56,5.25,48.2,118.03,0,0,0,0,0,9.79,11,0,16.74,0.71,6.53,1.59,3.8,8.69
120,0,0,9.26,3.23,35.8,261.12,0,0,0,0,0,0,0,0,0,0,0,0,11.66,0,0,38.82,106.88,0,0,5.18,0,0,5.32,5.09,0,0,0,7.91,0,21.21,0
