stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,60.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.63,0,0,0,0,0,0,0,0,0,0
  5-6,10.04,59.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.13,0,0,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.93,0,0,0,20.29,0,10.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.37,0,0,0,67.35,0,24.94,0,8.36,0,35.49,0,0,0,0,0,0
 14-21,0,0,0,6.03,0,1.84,0,0,0,0,0,2.55,0,0,0,0,0,0,0,5.98,13.18,0,0,0,0,0,15.9,4.56,0,142.22,372.91,1.47,0,0,0,0,0
 24-34,0,0,0,1.84,0,39.2,22.78,0,0,0.88,0,3.91,0,1.41,3.74,2.99,0,6.65,0,30.19,70.63,0,9.68,1.62,0,0,1.35,0,2.04,42.64,216.97,12.66,0,0,3.5,0,0
 36-46,0,0,0,0.63,0,53.88,103.4,0,0,3.47,0,2.74,3.12,0,0,1.44,0,3.13,0,24.08,67.56,0.85,16.87,2.37,7.09,0,7.34,0,9.22,39.09,5.18,5.56,0,0,0,0,0
 48-58,0,0,0,0.42,0.44,65.23,59.61,0,0,4.61,0,2.27,0,0,0,1.35,0,3.52,0.75,10.47,62.32,7.92,3.65,5.09,0,0.73,7.12,0,6.6,23.29,0,16.44,0,0,0.46,0,0
 60-70,0,0,0,0,0,49.9,45.15,0,0,9.17,0,1.45,0,0,0,1.68,0,28.48,0,22.71,34.35,0,6.63,11.34,0,0,0,0,0.82,5.69,0,3.4,0,0.9,0,2.3,1.39
 72-82,0,0,0,0,0.67,83.45,69.47,0,0,10.49,0,3.46,0,0,0,4.08,0,18.14,16.03,17.02,49.2,0,15.31,15.11,0,0,2.21,0,2.29,1.29,0,0,0,1.72,0,4.44,0
 84-94,0,0,0,6.16,3.56,77.22,47.82,0,0,3.95,0.75,1.78,0,0.75,0,1.41,0,23.37,5.25,14.43,34.89,0,5.86,23.61,0,0.6,4.22,0,0,12.31,0,0,0,2.16,0,8.42,0
 96-106,0,0,0,7.96,10.27,87.41,59.12,1.28,3.85,8.8,1.27,4.06,0.56,0,1.9,11.23,0,10.59,1.68,14.82,37.27,0,17.62,24.13,0,0,3.58,0,2.45,7.71,0,1.15,0,5.64,0,9.52,0.86
108-118,0,0,0,2.03,1.37,102.09,62.77,0,0,7.05,3.33,0,1.13,0,0,5.99,0.7,18.93,6.14,36.52,47.3,1.51,2.83,21.57,0,0,1.94,0,5.33,9.75,0,0,0.47,0,3.8,3.31,7.58
120,0,0,0,10.08,0,83.16,54.05,0,0,0,0,0,0,0,0,4.3,0,0,0,8.82,47.84,0,18.54,33.03,0,0,1.65,0,6.24,2.33,0,0,0,0,0,21.49,0
