stage,blastomeres,eye,mesenchyme,mural.cell,neural
  7-9,3.64,0,0,0,3.87
 24-34,0,0,0,0,1.27
 48-58,0,0,0.62,0,0
 60-70,0,0,3.46,0,0
 72-82,0,0,1.51,0,0.95
 84-94,0,0,7.9,0,0
108-118,0,0.46,0.78,1.05,0
120,0,0,6.3,0,0
