stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.64,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,11.83,6.54,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0
 36-46,0,0,0.58,0,0,0,0,0,0,2.52,0,0,4.45,0,0,0,0,0,2.1,0,0
 48-58,0,0,0,0,0,0,0.39,0,0,0.61,0,0,2.45,0,0,0,0,0,0.76,0,0
 60-70,0,0,4.66,1.49,0,0,4.24,0,0,2.47,0,0.9,0,0,0,0,0,0,2.81,0,0
 72-82,0,0.68,1.14,0,0,0,3.93,0,0,0,0,0,3.84,0,1.45,0,0,0,4.47,0,0
 84-94,0,0,0,0,1.89,1.58,6.05,0,2.64,4.25,0,0,0,0,0,0,2.64,1.35,0,0,0.78
 96-106,0,0.57,0,0,0,1.7,15.18,2.32,0,2.26,2.07,0,17.87,0,0,0.85,0,0,0,0,0
108-118,0,0.58,0,0,0,2.3,14.15,0,0.43,0,0,0,6.33,0,0,0,0,0,0,1.16,0
120,0,1.24,0,0,0,0,15.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
