stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,1.99,0,0,0,0,0,0,0,0,0,0,0,0,1.12,2.37,0,0,0,0.88,0,0,0
 24-34,0,0,1.43,0,0,0,0,0,0,0,0,0,0,10.15,0,0,0,1.38,0,0.7,0,0
 36-46,2.02,0,11.16,0,0,0.86,0,0,0.86,4.53,0,0,0.73,8.1,0,0,0,0,0,1.7,2.87,0
 48-58,4.29,0,4.49,0,0,8.35,0,0,0,1.88,0,0,0,14.6,0,0,0,0,0,4.86,0,0.92
 60-70,0,0,10.52,0,0,0,0,0,0,5.88,0,0,5.16,1.79,0,0.84,0,2.17,0,3.41,0,0
 72-82,0,0,4.29,1.78,0,1.96,0,0,0,5.05,0.93,0,0,5.23,0,1.33,1.28,0,0,1.37,0,0
 84-94,0,0,4.49,0,0,4.3,0,0,2.53,3.1,1.71,0,0,25.99,0,0,0,3.93,0,0,0,0
 96-106,0,0,0,0,0,1.26,0.77,0,0,15.27,0,1.41,1.11,4.54,0,0,0,2.1,0,1.13,0,0
108-118,0,0.61,7.2,0,0,0,0,0.95,0,10.76,0,0,0,21.19,0,0,0.81,0.63,0,0,4.57,0
120,1.89,0,5.82,0,1.44,2.63,0,0,0,0,0,8.33,1.82,1.05,0,0,0,1.27,0,0,2.97,0
