stage,blastomeres,endoderm,epidermis,eye,iridophores,liver,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,99.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.75,0,15.95,0,0,0,0,49.87,10.77,17.67,0,0,0,0,0,0,0
 10-12,0,7.89,0,0,0,0,0,0,51.19,0,30.22,0,4.94,8.37,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0
 24-34,0,0,0.91,0.95,0,0,0.62,0,6.42,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.42,0,0,10.94,0,0,0,0,0,0
 48-58,0,0,0,1.1,0,0,0,3.8,0.45,0,0,0,0,0,0,0,0,0
 60-70,0,0,9.38,2.46,1.2,0,0,0,4.08,0,0,5.22,0,0,0,4.21,1.72,6.08
 72-82,0,0,0,1.27,0,0,0,0,0.64,0,0,0.61,0,0,0,0,0,0
 84-94,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0
120,0,0,0,0,0,5.66,0,0,0,0,0,1.35,0,1.58,0,0,0,0
