stage,axial,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.18,0,0,0,4.2,0,0,0,0,0,0,0
 48-58,0,0,0,1.14,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.73,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.5,0,7.32,1.65,0,0,0,1.47,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,9.99,5.69,3.77,0,1.63,0,279.6,12.69,0,0,0,47.25,0.7,0,0,0,0,2.8,0
108-118,0,6.06,0,9.1,6.96,0.67,0,2.25,1356.95,11.69,0,1.72,0,63.16,0,0,6.67,0.44,2.32,0.5,5.45
120,0,0,0,8.29,0,3.02,0,9.85,820.51,0,0,0,1.96,43.28,0,0,4.5,0,0,0,0
