stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,256.11,4847.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.14,0,0,0,0,0,0
  5-6,194.17,3102.82,0,0,0,0,0,0,0,0,0,0,0,0,112.17,0,0,0,64.69,113.35,0,0,0,0,0,0
  7-9,47.9,111.72,104.63,0,300.76,0,0,0,50.55,0,0,0,0,0,2165.81,106.13,0,0,768.55,0,27.7,0,0,0,0,0
 10-12,0,38.06,31.34,0,44.67,0,0,0,16.46,0,0,0,0,0,667.43,30.39,0,0,171.5,0,18.32,0,30.82,0,0,0
 14-21,0,0,0,7.23,0,0,0,0.82,0,0,0,3.02,0,2.06,22.32,0,0,0,0,1.15,0,4.44,0,0.98,2.95,9.28
 24-34,0,0,0,0,0.65,4.06,1.46,0,0,0.67,0.69,1.28,0,0.91,17.5,0,0,0,0,0,0,0,0,0,0.63,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,22.69,0,0.59,0.57,0,4.93,0,0,3.98,1.13,0,1.05
 48-58,0,0,0,0,0.56,0,0,0,0,0.66,0,4.17,0.56,0,3.13,0,0,2.38,0,9.35,0,0,2.75,0,0,3.68
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.58,0,2.42,3.39,0,0,0,0,3.49,0,0,0,0,0,3.11
 72-82,0,0,0,0.49,1.09,0,0,0,0,0,0,8.75,0,0,2.42,0,0,0,0,3.05,0,0,0,0,0,0
 84-94,0,0,0,2.47,1.35,0,0,0.66,0,0,0,9.2,0,0,7.3,3.47,0,0,0,2.43,0,0,0,0,0,0
 96-106,0,0,0,2.74,9.86,0,0,0,0,0,0,2.69,0,0,2.61,0,0,0,0,0.95,0,0,1.12,0,0,0
108-118,0,0,0.74,0,0,0.95,0,0,0,0,0,0,0,0,4.41,0,0,0,0,1.04,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.51,0,0,0,6.93,0,0,13.05,0,0,0,0,0,0,0,0,0,0,10.42
