stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.81,0,0,4.17,0,0,0,0,0,0,0,0,50.65,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.43,0,4.67,0,0,0,0,0,0,34.92,0,0,0,0,0,0,0,7.22,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,30.07,8.35,0,0,0,0,0,0,5.92,0,0,0,0,0,6.65,0,0,4.49,0,0,1.25,0,3.81,0,1.28,0,0,5.08,0,0,0,0,0
 24-34,0,0,0,35.46,3.45,0,0,0,1.3,0,0,7.1,0,0,0.72,5.56,0.62,0.86,0,0,8.68,0.8,1.33,0,0,0,0,2.14,0,0.63,8.47,0,0,0,0,0
 36-46,0,0,0,0.63,1.45,0,0,0.81,1.19,0,1.52,13.17,0,0,0,6.29,0,2.96,0,2.11,6.16,0,0,0.68,0,0,0,2.96,0,0,4.55,0,0,0,0,0
 48-58,0,0,0,2.76,4.08,0,0,2.44,0,0,1.23,18.31,0,0,0,7.03,0,1.42,0,0.41,17.45,0,0,0,0,0,0,1.42,0,0,7.21,0,0,0,0,0
 60-70,0,0,1.23,0,3.84,0,0,0,0,0,1.35,32.18,0,0,0,19.48,0,9.31,0,0,3.27,0,0,0,0,0,0,0.91,0,0,0,0,1.56,0,0,0
 72-82,0,0,7.89,0,8.61,0.82,0.55,8.99,0,1.28,0,72.78,0,0,3.52,3.43,0,17.45,2.92,1.65,37.14,0,0,0,1.39,0.56,0,3.27,0,0,1.24,0.53,0.75,0,1.26,0
 84-94,0,0,5.5,4.41,4.05,0,0,8.89,0,0,7.2,169.41,0,0.61,0,42.09,0,5.52,0,0,11.96,0,0.97,0,0,0.71,0,4.71,0,0,0,3.55,4.45,3.59,3.34,0
 96-106,0,0,6.72,6.77,5.73,4.7,1.06,23.35,0,0,7.52,237.48,0,0,0,55.4,0,11.99,1.8,0.9,43.28,0.68,0,0,0,1.74,0,3.17,0,0,1.71,0,1.26,0,0.72,0
108-118,0,0,6.87,7.44,5.66,0,12.77,7.86,0,0,1.94,406.68,0,1.34,2.42,118.44,0,15.07,3.4,0,97.36,0,0.51,0,0,7.52,0,7.02,0,0,0,10.02,0,0,0.62,4.12
120,0,0,15.58,1.66,0,3.42,5.36,14.32,0,0,8.52,400.09,0,0,0,171.4,7.7,51.94,0,0,71.09,0,0,1.59,6.67,0,2.5,13.01,27.87,0,2.04,7.93,1.56,0,2.94,0
