stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,19.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,0,0,0,0,0,0,0
  7-9,12.87,6.33,0,10.75,0,0,24.85,0,0,0,3.79,0,0,0,0,113.43,26.12,0,0,15.39,0,0,0,0,0,0,0
 10-12,0,4.2,0,5.6,0,0,3.76,0,0,0,0,0,0,0,0,141.73,5.47,0,0,17.24,0,0,0,0,0,0,0
 14-21,0,0,2.13,0,1.49,3.94,1.21,0,7.11,1.29,0,0,2.74,0,0.82,23.55,1.72,1.04,0.88,1.86,1.53,2.72,4.37,2.64,34.78,0,0
 24-34,0,0,0,0,2.19,0,5.33,0.61,12.09,1.02,0,0,2.37,0,1.43,23.25,0,4.11,0,0,0,0,0.61,0,22.37,0,4.75
 36-46,0,0,0,0,0.63,0,3.16,0,0,0,0,0,0,0,0,3.03,0,3.23,0,0,0,0,0,0,5.61,0,0
 48-58,0,0,0,0,1.44,0,13.13,0,4.89,0,0,0,1.8,0,0,9.52,0,1.76,3.95,0,0,0,2.5,0,6.44,0,0
 60-70,0,0,0,0,0,0,16.32,0,7.9,0,0,0.96,0,1.53,0,21.16,0,5.04,0,0,0,0,0,0,2,1.03,0
 72-82,0,0,0,0,0.78,0,4.18,0,3.3,0,0.59,0,3.38,0,0.67,10.81,0,0,0,0,0,0,0,0,0.63,0,0
 84-94,0,0,0,0,3.02,0,1.42,0,2.6,0,0,0,0.55,0,0,10.71,0,3.16,2.83,0,0,0,0.7,0,3.65,0,0.94
 96-106,0,0,1.38,0,3.1,2.98,2.57,0,2.37,0,0,5.67,1.14,0,0.78,1.9,0,4.49,1.37,0,0,0,0,0,2.15,0,0
108-118,0,0,0,0,4.49,0.66,13.67,0,1.81,0,0,0.74,1.2,0,0,17.47,0,0.63,4.81,0,0,0,0,0,0,0,0.53
120,0,0,0,0,0,0,0,0,5.41,0,0,2.98,0,0,0,3.5,0,5.76,0,0,0,0,2.11,0,0,0,0
