stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.6,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.04,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.7,6.54,2.08,0,4.2,0,0,0,1.67,0,0,0,0,0,0,0,0,1.81,0,0,1.18,19.32,0.81,0,0,0.85,0,0.89,2.4,0,0,0.82,7.91,0,0,0,0
 24-34,0,1.57,9.77,0,0,7.82,0,0,0,0.67,0,0,0,0,0,0,0,0,6.21,0,0,0,43.18,0,0,3.24,0,0,0,0,1.26,0,1.81,3.72,0,0.75,0,0
 36-46,0,0,1.32,1.29,0,0,0,0,0,2.57,0,0,0,0,0,0,0,0,10.64,0,0,1.09,34.86,0.68,0,0,0,0,0,0,0,0,0,12.21,0,0,0,0
 48-58,0,0,0.88,1.54,0,2,0,0,0.37,0.73,0,0.38,0,0,0,1.04,0,0,3.21,0,0,0,37.14,0,0,0,0,0,0,0,0,0,0,5.75,0,0.41,0,0.48
 60-70,0,0,4.01,12.47,0,7.06,0,6.66,1.64,2.79,0,0,0,0,0,0,0,0,15.5,0,0,0,61.52,2.19,0.83,11.88,0,0,0.64,0,0,2.58,0,17.13,0,0,0,10.91
 72-82,0,0,0,52.13,0,1.06,0.59,0,0.68,4.14,0,0,0,0,0,0,1.59,0,36.85,0,1.17,0,100.04,0,0,2.52,0,0,1.58,0,0.64,0,0,45.98,0,1.02,0,1.16
 84-94,0,1.01,13.74,83.71,0,12.28,0,2.9,1.55,6.24,0.63,0,0,1.35,0,0.96,0,0,31.38,0,0,0.63,119.47,0.91,0,4.64,0,0,20.28,0,2.41,0.73,0,17.87,1.37,2.12,2.03,0.55
 96-106,0,0,4.01,59.82,1.78,11.86,0.57,5.92,0,23.44,0.74,3.87,1.34,1.34,0,5.75,0,0,50.28,3.33,5.73,2.27,111.23,0,0,7.3,0,5.34,8.25,0,0,0.6,0,4.79,0,1.3,1.3,3.18
108-118,0,0,10.19,46.61,1.15,19.85,0.45,11.08,0,15.37,0.44,0.43,1.82,0.72,0,2.59,1.6,0.46,89.21,0.53,0,2.71,139.75,1.6,0,14.89,0,0,19.49,0,0,1.58,0,0,0,1.53,3.09,1.5
120,0,0,18.52,28.88,0,34.64,7.8,12.18,0,32.32,0,0,0,0,1.62,1.74,0,0,43.76,0,19.72,0,170.86,0,0,18.7,0,0,12.22,0,1.86,2.35,0,10.16,1.99,0,17.64,3.64
