stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.63,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.81,0,0,0,0,0,0,0,0,0,0
  7-9,37.32,0,0,13.92,0,0,17.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.51,9.47,0,0,59.76,0,276.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,60.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.38,60.72,0,0,97.89,0,175.48,4.8,0,4.95,0,0,0,0,0,0,0
 14-21,0,1.36,2.2,7.61,48.64,21.08,7.72,0,0,0.89,4.75,0,0,3.67,0,0,0,0,9.95,0.99,0,7.02,70.17,2.53,0,0.88,3.21,0,469.95,2.03,5.66,0.82,7.59,46.71,0,0,5.82,0,0
 24-34,0,0,0,1.95,21.43,21.02,8.69,0.94,0,4.9,2.87,0.75,2.18,13.33,0,1.8,3.04,1.92,21.72,2.94,0,6.61,159.49,3.28,0.76,1.32,0,0,82.05,0,0,0.61,0.66,106.55,0,0,11.14,0,1.59
 36-46,0,0,0,0,14.09,7.5,7.84,0,3.35,7.2,1.48,2.04,0,0.78,0.94,0,24.25,2.72,20.37,3.23,0,3.83,118.87,5.82,2.18,1.42,0,0,76,0,0,0,0,208.69,0,0,4.92,0,5.46
 48-58,0,0,0,0.72,3.48,4.17,19.05,5.54,1.54,12.78,7.9,0,0,0,1.4,0.48,2.32,10.09,38.37,0.4,1.49,5.15,82.03,14.83,2.73,0.41,0,0,38.93,0,0,0,0,119.4,0,0,1.01,0,2.87
 60-70,0,0,10.84,0,8.69,1.95,8.39,4.58,1.06,23.06,7.07,2.15,0,3.22,5.46,0,9.05,2.37,61.99,0,1.3,0.67,19.97,2.69,0,0,0,0,16.67,0,0,0,0,32.2,2.94,0,5.21,0.77,8.01
 72-82,0,0,12.8,0.56,13.6,7.81,9.7,5.69,8.19,44.67,24.33,5.4,0,1.94,0.53,2.01,0,0,65.69,2.59,1.23,3.73,17.29,0,0,2.99,0,0.77,9.2,0,0,0,0,4.71,4.71,2.68,3.41,1.85,0
 84-94,0,0,8.55,0,29.69,2.06,9.26,1.91,2.72,55.56,45.7,0.97,2.31,6.28,1.51,1.2,0,0,60.91,0,1.36,1.49,12.3,0.66,1.36,7.39,0,0,29.65,0,0,0,0,2.38,1.89,2.7,6.94,0,0
 96-106,0,0,18.35,0,36.73,6.77,12.32,0,1.58,119.95,46.28,4.45,0.83,5.01,0,4.68,0,1.9,42.02,5.45,1.7,3.43,19.59,0,3.81,4.3,0,0,33.11,0,0,0,0,0,4.93,1.94,6.62,0.66,1.61
108-118,0,0,9.84,1.26,37.42,6.58,5.18,0,2.94,111.39,71.27,1.58,2.71,4.24,0.55,2.31,0,3.06,53.9,0.53,0,2.4,20.25,0.5,1.97,4.08,0,2.29,21.83,0,0,0,0,0,2.02,0.82,5.65,1.2,0
120,0,0,3.73,3.17,66.16,13.73,6.72,1.12,13.46,139.52,53.31,6.01,8.31,4.3,0,0,0,0,59.85,1.56,4.29,0,27.51,5.91,2.49,5.76,0,22.24,49.83,0,0,0,0,0,1.63,0,6.44,0,0
