stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.59,281.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.88,0,0,0,0,0,0,0,0,0,0
  5-6,0,90.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,4.82,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.64,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.72,0.82,0,10.79,0,0,0,0,0,0,0,0,0,0,0,13.82,0,1.95,0,0,2.86,6.56,3.65,0,0,0,0,0,1.27,0,5.85,9.13,0,0,0,0,0
 24-34,0,0,0,0.82,4.39,0,0,5.67,0,0,0,0,0,0,2.14,0.89,0.69,0.7,1.23,0,0,6.82,6.97,0,0,22.26,11.46,1.4,2.08,0,2.92,0,3.92,1.73,0.6,8.52,0,0,5.98,0,0
 36-46,0,0,0,0,1.92,0,0,4.25,0,0,0,1.8,1.58,0,0,0,1.77,0,0,2.4,0,8.56,6.1,0,0,27.65,5.17,1.52,4.41,0,11.33,0,0.72,0,0,9.75,0,0,2.12,0,4.9
 48-58,0,0,0,0,10.03,0,0,5.99,0.86,0,7.22,12.86,2.13,0,2.84,0,0,0,0.47,5,0.46,55.44,6.85,1.66,1.6,36.08,2.85,1.35,7.28,0.56,9.09,0,0,0,0,11.25,0,0,3.63,0,11.77
 60-70,0,0,0,0,8.92,0,0,10.29,0,1.96,1.55,33.44,31.14,0,0,0,0,0,0,29.11,0,289.42,16.52,3.18,3.96,33.1,2.06,0,8.65,2.83,21.71,0,0,0,0,5,0,0.57,3.43,0,11.83
 72-82,0,0,5.71,0,9.4,2.42,0,49.41,0,0.52,2,93.93,224.22,0.74,0.81,4.85,0,2.08,0.92,54.96,0,435.51,20.01,5.67,6.27,115.56,3.03,0,16.78,3.98,53.14,0,1.18,0,0,10.91,2.08,0,2.39,2.13,15.6
 84-94,0,0,10.27,0,25.8,3.98,0,24.74,0,1.99,2.61,62.98,474.42,0,4.04,4.44,1.74,0,0.6,77.05,0,380.59,18.6,8.68,4.56,56.39,10.89,0,6.34,0,138.11,0,7.36,0,0,1.11,1.32,2.08,7.81,3.82,5.68
 96-106,0,0,7.65,0,47.8,8.88,0,86.03,0,7.21,1.48,80.01,805.27,0,5.03,3.32,8.81,4.63,12.27,131.35,0,194.9,39.41,5.94,20.71,157.96,0,4.51,8.56,7.96,325.82,0,2.07,0,0,16.92,3.14,5.7,8.97,8.7,20.64
108-118,0,0,7.83,0.49,85.99,3.44,2.91,90.03,0,15.57,0,61.66,1033.71,0,4.22,1.77,9.69,7.89,1.23,217.9,0.44,174.84,63.55,9.74,1.8,145.03,2.72,5.23,5.21,0,379.74,0,11.33,0.76,0,0.7,18.27,2.35,14.56,5.74,6.8
120,0,0,19.35,0,66.12,0,0,31.7,0,9.47,0,53.51,525.89,0,3.06,13.45,4.81,0,20.94,109.56,0,105.55,27.69,1.38,0,122.13,4.25,7.77,7.61,0,257.79,0,5.18,0,0,2.14,3.61,2.71,4.04,0,1.1
