stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.07,0,6.62,3.38,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,70.53,0,0,0,0,0,1.11,0,0,4.8,73.08,0,0,0,0,0
 24-34,0,0,1.97,0,0,10.64,0,0,0,9.1,0,0,0,0,0,0,0.63,0,0,1.74,0,0,0,1302.74,0,20.25,1.32,0,5.21,0,2.24,0,0,399.29,0,0,0,0,0
 36-46,0,0,0.92,0,0,69.01,0,0.57,0,4.04,0,0,0.72,0,12.14,0,0,0,0,9.72,1.26,0,0,3520.27,0.57,8.46,0,0,2.34,0,0,0,0,876.47,0,0,1.36,0,1.69
 48-58,0.44,0,11.43,3.77,0,603.93,2.73,4.08,1.04,56.56,0,0,0,0,11.79,0,0.84,0,0,18.7,0.5,0,14.73,6865.8,0.71,17.67,0.74,0,2.74,0,0,0.41,0,1207.67,0,0,1.44,0,4.19
 60-70,0,0,18.65,1.55,0,2931.72,0,1.86,9.06,38.01,0.85,1.31,0.84,11.62,0,3.47,0,0,0,73.41,1.27,0.91,4.92,9737.39,0,7.96,3.05,0,15.22,0,0,3.59,0,1165.93,0,0,11.77,0,19.5
 72-82,0.5,0,39.37,2.37,0,5617.26,0,4.54,17.14,113.7,6.48,0.5,0,4.17,0.89,3.44,0.67,8.32,0,79.91,0,7.04,2.8,11816.39,0.53,14.08,8.95,2.81,2.61,0,0,0,0,1005.83,0,0.63,17.53,1.31,11.37
 84-94,0.7,0,53.1,0.63,0,4452.42,0.56,5.3,0,177.63,3.88,0,0.88,3.45,0.61,14.73,0.69,3.02,5.93,74.31,0,4.37,5.85,7726.91,1.25,29.71,15.28,0,17.01,0,0.73,0,0,640.06,1.55,1.28,1.56,5.27,31.61
 96-106,0,0,50.17,27.06,14.11,4982.09,0,0.84,0,147.81,5.01,0,2.91,3.58,0,2.62,4,28.3,0,48.62,3.21,1.14,7.38,6938.06,0,12.27,5.94,0,27.16,0,0,2.05,0,293.64,9.42,3.24,7.79,1.28,10.26
108-118,0,0,52.81,7.47,0,4196.54,1.95,1.98,4.33,129.48,2.38,0,0,1.75,0,2.25,0,10.15,2.2,50.69,0.67,16.54,5.94,7388.57,0.69,16.4,6.6,0,19.13,0,0.84,0,0,277.41,5.87,0,13.64,0.49,0
120,1.73,2.55,149.13,1.34,3.69,4216.38,3.47,0,0,220.48,1.42,0,0,13.65,0,0,2.98,17.41,0,119.27,0,2.35,14.07,12116.22,16.67,27.96,5.01,3.68,13.13,0,4.25,1.63,0,320.35,0,0,34.75,0,0
