stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,33.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,10.68,3.06,0.96,0,0,0,0,5.25,16.33,0,0,0
 24-34,0,1.67,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,127.29,12.1,5.04,0,0,0,0,0,45.12,0,0,0
 36-46,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0.73,230.96,11.9,2.26,0,0,2.08,0,0,65.81,0,1.27,0
 48-58,0,0,2.4,0,55.77,0.47,0,0,0,0,0.85,0,0,0.4,3.36,0,358.2,6.13,25.62,0,0,0,0,0,57.98,0,2.98,0
 60-70,0,0,0,0,222.7,0,0,0,7.08,0,0,0,0,1.76,1.37,0,508.73,16.18,14.66,0,0,0,0,0,69.64,0,0.67,0
 72-82,0,0,0.54,0,297.6,0.56,0,4.56,4.2,1.02,0,0,4.12,2.15,1.25,0,440.36,21.43,7.44,0,0,0,0.64,0,47.97,0,0,0
 84-94,0,1.15,0.59,0,219.73,0,0,0,19.21,4.76,0,0.69,0.61,1.82,2.48,0,258.91,6.6,11.66,0,0,0,0,0,26.19,3.13,3,1.35
 96-106,0,0,5.58,0,243.35,0,0,1.65,4.64,0,0,0,1.08,2.87,6.1,3.06,168.26,9.98,17.77,0,0,6.64,0,0,29.15,0,0.64,2.34
108-118,0,0,0,0,188.96,0.64,0,0.95,15.48,0,0,0,3.94,3.08,0,0,256.59,23.71,22.29,0,1.19,0,0,0,8.76,2.16,0,5.66
120,0,0,6.59,4.98,154.75,22.49,1.21,0,8.68,1.32,9.71,0,0,4.94,24.37,10.02,683.27,33.94,56.7,0,0,0,0,0,10.6,1.37,1.61,3.95
