stage,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,slow_muscle,somites,spinal_cord
  3-4,46.16,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.96,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,29,0,0,24.91,0,0,0
 10-12,0,6.76,10.9,0,0,0,21.62,7.35,0,26.1,0,0,0
 14-21,0,0,0,0,0,0.83,4.19,0,0,0,0,0,1.3
 24-34,0,0,0.66,0.97,0,0,12.14,0,0,0,0,0.64,0.98
 36-46,0,0,0.85,0,0,0.63,2.44,0,0,0,0,0,1.09
 48-58,0,0,1.87,0,0,0.68,2.55,0,0.41,0,0,0,0
 60-70,0,0,1.72,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.31,3.6,0,0,0,0,0,0
 84-94,0,0,2.05,0,0.78,0,0.67,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.53,0,0
