stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0
 14-21,0,2.07,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,2.48,0,1.09,0,0,0,0,0
 24-34,0,0,0,0,0,1.91,0,0,0,0,0,0,0.69,3.58,0,0.64,11.66,6.65,0,2.33,0,0.6,0,0,0.64,0
 36-46,0,0,0,0,0,1.02,0,0,0,0,0,0,0,2.12,0.6,0.63,11.94,5.58,0,0,0,3.97,0,0,0,0
 48-58,0,0,2.33,0,2.53,0,0,0.59,0,0,0,0,0,7.44,0,2.6,2.54,1.78,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.68,0,0,0.6,0,0,0,0,0,5.87,0,0,9.69,4.03,0,0,0,0,0.84,0,0,0
 72-82,0,0,6.74,0,0.61,0.56,0,0,0,0,2.7,0,0,16.12,0,0.59,5.59,16.57,0,0,0,0,0,0.89,0,0
 84-94,0,0,3.45,0,5.14,1.09,0,0,0,0.73,0.61,0,0.96,6.4,0,0,1.44,3.97,0,0,0,0,0,0,0,0
 96-106,0,1.54,4.66,0,3.76,0.96,0.94,0,0,0,0.89,0,0,10.57,0,0,2.1,25.73,0,0,0,0,0,0.67,1.83,0
108-118,0,3.78,5.29,0.71,0,2.57,0,0,0.47,0,7.21,0.42,0,15.94,0,0.49,5.43,12.4,0.81,0,0,0,0,1.25,0,1.05
120,4.32,0,21.89,0,0,0,0,0,3.69,0,3.19,0,0,0,0,0,7.43,2.52,0,0,0,0,1.94,0,0,0
