stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,slow.muscle,spinal.cord,vasculature
  5-6,16.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.04,0,0,0,1.25,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0.62,1.81
 36-46,0,0,0,0,0,0,1.33,0,0,0.95,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,1.09,0
 72-82,0,0,0.8,3.39,14.55,0.5,0,18.91,0,0,0,12.47,0,0,0,0
 84-94,0,0,0.57,0,0,2.66,0,12.33,0,0,0,2.55,0,5.42,0,0
 96-106,0,0,0.7,0,10.72,0.81,0.69,61.71,2.38,0,0,8.05,0,0,0,0
108-118,0,0,0.61,0,2.93,0.78,0,97.37,0,0,0,49.13,0,0,0,0
120,0,0,0,0,0,0,0,164.14,0,0,0,3.23,0,0,0,0
