stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2.13,4.32,0,0,0,0,0,0,4.9,3.53,0,0,0,3.59,0,43.13,0,0,13.22,0.99,0,2.95,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,2.6,3.39,0,0,0,0,0.86,0,0,0,0
 36-46,0,0.78,0,1.1,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0.61,0,1.63,0,5.2,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,39.16,0,0,0,0.88,0,0,2.27,0,0.51,0,4.01,0,0.37,0,0,0,251.04,0,0,0,0,1.66,0,0.86,0,0
 60-70,0,0,0,0,82.2,0,0,0,3.14,0,0.7,1.75,0,0,0,0,0,1.3,0,7.45,0,707.32,0,0,2.69,0,0,0,5.67,1.54,2.96
 72-82,0,0,1.8,1.31,33.11,0,0,0,2.42,0,0,2.15,0,0,0,0,0,4.2,0,0,0,5824.16,2.57,0,0,0,11.15,0,0,0,0
 84-94,0,0,0,1.19,239.95,0,0,0,0,0,0,7.5,0,0,0,7.62,0,3.98,0,0,0,2554.74,0,0,4.14,2.89,3.71,0,5.78,0,0
 96-106,1.08,0,5.55,7.03,82.96,0,1.54,12.29,13.77,43.29,0,6.47,0,0,0,13.78,4.28,18.18,0,0,6.87,3779.71,0,2.97,0,10.89,0,0,4,0,0
108-118,3.86,0,5.73,5.27,23.88,0,0.62,0,6.9,2.17,0,3.86,0.62,0,0.63,7.63,0,15.17,1.09,0,0.56,2137.42,5.95,0.69,1.02,1.84,4.23,1.1,7.2,0,0
120,0,0,22.25,34.25,39.1,7.02,2.43,0,34.44,5.67,6.44,9.06,0,0,0,42.92,0,46.71,0,0,1.02,19636.88,0,0,0,100.68,0,0,15.31,0,0
