stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,112.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.36,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.69,0,5.27,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.15,15.61,0,0,36.44,0,0,0,0,6.12,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,7.13,0,0,0,0,0,0,1.09,0.85,0.96,0,0,0,0,0,2.98,0,0,0,39.88,3.65,0.85,0,0,0,2.3,1.23,3.05,0,1.37,4.2,13.05,0,0,0,0,0
 24-34,0,0,0,7.11,0,9.29,0,0,0.86,1.4,0,0,0.79,0,0,0,0.69,2.18,2.1,0,0,3.59,129.17,0,1.36,0,0,0,1.89,0,0,0,0,0,18.25,0,0,6.7,0,2.59
 36-46,0,0,0,0.94,0,28.24,1.31,0,0,0,0,0,0,0.94,0,41.69,0,0,16.73,0,0.8,2.74,139.18,13.52,0,0.74,0,0,14.22,0,0,0,0,0,40.98,0,0,0.62,0,0
 48-58,0,0,0,0.5,0,36.7,0.41,0,0,8.42,0,0.57,0,0,0,39.48,0,0,12.02,0,0.63,0.38,120.74,3.84,1.18,0.5,0,0,1,0,0,0,0,0,21.19,0,0,3.3,0,7.92
 60-70,0,0,0,0,0,61.06,3,0,0,10.33,0,0,0,0,0,157.57,0,0,16.31,0,9.11,0.74,135.93,0,0,0.63,0,0,1.66,0,0,0,0,0,24.05,0,0,11.13,0,3.78
 72-82,0,1.09,0,2.3,2.52,78.46,0,0,0,6.53,0,1.02,0,0,0,66.86,0,0,10.87,0,0.49,0.64,132.22,0,1.51,0.95,0,0,5.26,0,0,0,0,0,15.12,0,0,10.73,0,0
 84-94,0,0,0,2.22,0,55.77,0.66,0,0,5.83,0,0,0,0,0,151.37,0,1.25,10.45,0,3.74,0.75,115.94,0,0,0,0,0,3.98,0,0,0,0,0,8.27,0,3.3,0.91,0.98,5.64
 96-106,0,0.99,0,0,2.11,29.68,0,2.9,0,11.87,1.74,0,0.73,1.62,0,89.75,0,0,13.87,1.41,0,0,52.66,0,2.04,0,0,0,8.58,0,0,0,0,0,2.95,3.18,0,2.54,0,5.1
108-118,0,0,0,4.17,3.51,41.4,0,0,0,4.87,0,0,0,2.3,0.59,96.11,1.26,0,11.14,0,0,0,145.9,0,1.76,0.52,0,2.29,3.76,0,0,0,0.43,0,4.6,0.42,0,0,0,6.36
120,0,0,0,0,2.39,63.38,0,1.16,0,0,1.21,0,0,2.3,0,33.39,0,0,12.48,0,0,3.47,245.04,3.33,0,0,0,0,4.18,0,0,0,0,0,10.16,0,0,3.89,0,2.78
