stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,41.45,10.98,0,25.91,0,0,0,5.29,1.33,0,0,0,0,0,0,0.99,18.68,0,0,9.37,190.62,3.45,0,0.96,4.07,0,10.85,36.05,1.77,0,41.98,89.24,0,0,2.82,0,0
 24-34,0,0.81,0,8.66,0.6,0,25.85,0,1.29,0,6.04,0,0.8,0.74,2.39,0,0,1.59,0,15.32,0,0,12.86,309.97,1.3,0,2.79,0,0,22.8,0,1.84,1.04,7.32,74.71,0,0,6.79,0,0.69
 36-46,0,0,0,5.68,0,0,41.41,0,0,0,26.7,0.66,0,0,1.03,0,4.36,0,0.86,18.05,0,0,9.34,351.17,2.31,2.41,1.36,0,0,37.51,0,0,0,0.56,55.26,0,0,0.64,0,2.73
 48-58,0,0,0,7.23,0,0,129.64,0,0,2.06,50.47,1.54,0,0,0.39,0,1.87,0,0,32.17,0,0,8.73,403.96,4.71,2.55,0,0,0,12.22,0,0,0,0,85.22,0,0.37,4.4,0,0
 60-70,0,0,0,10.25,0,0,119.35,0,0,1.82,49.79,2.12,0,0,1.1,0,1.26,0,0,37.04,0,11.74,9.09,204.72,0.68,1.19,1.59,0,0,9.35,0,1.72,0,0,45.19,0,1.27,0,1.25,8.96
 72-82,0,0,0,12.67,0.52,0,163.56,0,0,5.88,56.1,0,0,1.07,0.7,0,1.92,1.71,0.6,71.58,0,15.58,13.32,292.99,1.94,1.05,0.76,0,0,34.59,0,0,0,0,30.61,1.54,2.53,8.32,2.99,6.37
 84-94,0,2.38,0,18.56,5.17,0.59,130.82,0,4.34,0.62,44.39,0.61,0,4.75,0,0,3.18,0,0,34.12,0.92,4.48,7.04,141.43,1.54,5.41,0.59,0,0,79.12,0,2.69,0,0,6.6,3.05,1.48,0.74,2,0
 96-106,0,1.98,0,32.91,16.36,0.71,137.86,3.1,5.49,6.25,77.67,5.71,0.62,7.96,1.91,6.74,1.35,1.99,0,112.6,5.84,1.76,31.73,205.13,0,4.66,4.73,0,7.95,150.86,0,0,0,0,25.37,2.36,4.92,10.68,3.72,5.57
108-118,0,0,0,61.79,15.86,8.18,104.14,1.84,10.34,3.88,43.45,8.91,0,10.94,5.17,2,8.85,0.48,6.15,103.32,9.01,6.98,17.2,195.95,3.3,3.06,5.63,0,6.93,137.32,0,0.64,0,0,4.93,3.69,1.19,6.33,0,4.8
120,0,0,0,102.76,21.19,3.32,89.67,2.56,13.38,17.85,127.36,3.14,0,6.44,12.4,5.71,4.22,3.76,8.73,150.26,1.46,10.04,15.09,324.36,6.26,0,0,39.68,2.76,62.28,0,2.11,0,0,11.39,0,0,10.29,8.42,0
