stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,hatching.gland,heart,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,38.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.81,0,0,0,7.7,0,0,0,8.3,0,0,0,24.92,6.95,0,0,11.91,0,0,0,0
 10-12,0,0,7.76,0,26.29,0,0,0,0,0,0,0,64.76,0,0,0,3.13,0,0,0,0
 14-21,0,0,0,1.04,0,0,0,0.9,0,0,0,0,4.92,1.31,0,0,0,2.91,2.98,0,0
 24-34,0,0,0,1.41,0,0,0,0,0,0,1.13,0,34.94,0,0,0.68,0,0,9.32,0,0
 36-46,0,0,0,0,2.84,0,0.6,0,0,0,1.22,0,47.59,0,0,0,0,0,6.54,0.92,0
 48-58,0,0,0,0,6.18,0.37,1.23,0,0,5.82,1.02,0,49.43,0,0,0,0,0,6.07,0,0
 60-70,0,0,0,0,18.62,0,1.25,0,0,0,2.33,0,57.55,0,0,0,0,0,11.66,0,0
 72-82,0,0,0,0,10.98,0,1.56,0,0,0,5.23,0,40.67,0,0,0,0,0,10.55,0,0
 84-94,0,0,0,0.58,8.72,0,1.09,0,0,0,2.79,0,18.1,0,0,0,0,0,4.35,0,0
 96-106,0,0,0,0,21.98,0,0,0,0,0,0.78,0,21.64,0,4.05,0,0,0,0,0,1.43
108-118,0,0,0,0,7.53,0,1.75,0,0,0.69,6.79,0.43,18.63,0,0,0,0,0,1.58,0,0
120,0,0,0,0,0,0,4.1,0,0,0,7.2,0,40.24,0,0,0,0,0,13.33,0,0
