stage,epidermis,eye,fin_epithelia,glial,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,0,4.04,0
 10-12,0,0,0,0,0,0,6.37,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.61
 24-34,0,0,0,0,0,0,2.45,0,0,0,0
 36-46,0.64,0,1.04,0,0,0,0.96,0,0,0,3.79
 48-58,0,0,0,0,0,0.94,5.17,0,0,0,1.34
 60-70,0,1.66,0,0,0,0,8.92,0,6.35,0,2.24
 72-82,0,0,0,0,0,1.8,0.7,0,0.82,0,1.09
 84-94,0,0,0,1.8,0,0,0,0,0,0,3.88
 96-106,0.92,0,0,1.14,2.72,0,4.16,2.27,0,0,9.94
108-118,0,0,0,0,0.95,0,2.11,0,0,0,10.45
120,17.7,0,0,0,0,0,0,0,0,0,22.92
