stage,axial,blastomeres,endoderm,eye,neural,notochord,paraxial.mesoderm,pronephros
  3-4,0,59.26,0,0,0,0,0,0
  5-6,7.58,129.93,0,0,0,0,0,0
  7-9,6.74,4.32,12.02,46.01,102.49,3.84,29.87,0
 10-12,0,0,3.47,3.21,147.17,0,69.56,6.22
