stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,14.56,69.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.73,220.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.59,0,0,20.43,0,0,0,0,0,0,0,0,0
 10-12,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.46,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14.31,1.91,0,2.39,0,0,1.85,0,0,0,0,0,0,0,0,15.36,0,1.19,44.43,0,0,0,0,4.28,0,0,6.82,8.76,0,0,0
 24-34,0,0,0,2.12,0,0,4.82,0,0,0,0,0.74,0,0,0,0.68,0,0,8.16,0,0.61,52.72,0,0,0,0,0,0,0,0,13.36,0,0,0
 36-46,0,0,0,1.65,0,0,8.99,0,0,2.97,0,0,0,0,0,0,0,0.61,5.83,0,0,126.82,2.1,1.29,0,1.12,0,0,0,0,19.34,0,2.44,0.81
 48-58,0,0,0,0,0,0,43.35,0,0,9.97,0,0,0,0,0,0.48,3.92,0,5.8,0.92,4.76,116.92,1.37,3.76,0,0,0,0.46,0,0,22.71,0,2.82,1.78
 60-70,0,0,0,0.97,0,0,42.05,3,0,3.37,0,0,0,0,0,0,10.04,0,11.14,6.48,0.74,76.06,0,0,0,0,0,0,0,0,8.61,0,0,2.96
 72-82,0,0,1.15,0.52,0,0,41.35,0,0,6.15,0.67,0,1.36,0,0,5.37,116.2,0,14.45,2.17,0.69,73.37,0,7.09,0,0,0,0,0,0,0,0,0.65,8.97
 84-94,0,0,0,0,0,0,30.53,0,0,6.57,0,0,0.75,0,0.76,0.78,274.7,0.58,24.15,1.32,0,57.06,2.08,6.21,0,2.89,0,0.56,0,0,0,0,0,2.44
 96-106,0,0,0,1.67,1.01,1.07,56.96,1.1,0,2.03,3.13,0,0.8,0,2.59,10.9,466.26,0.67,24.66,0,2.86,65.56,0,9.93,0,15.14,0,1,0.68,0,2.62,0,0,1.21
108-118,0,0,0,5.57,2.48,10.18,47.13,0.5,1.58,9.86,2.14,0,1.98,0.49,2.16,6.6,900.9,0,36.35,0,2.62,97.37,0.86,11.31,0,12.75,0,0.61,0,0,1.33,0,5.25,10.55
120,0,0,0,19.16,2.93,0,6,0,0,0,4.2,0,3.75,0,0,4.17,286.79,0,20.35,0,0,45.1,0,9.29,0,6.63,0,0,0,0,0,6.52,9.03,0
