stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.21,5660.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.59,0,0,0,0,0,0,0,0,0,0,0
  5-6,546.78,8526.82,27.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.7,64.45,0,0,56.01,65.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,160.48,137.68,253.05,0,0,0,260.36,0,0,0,0,0,141.07,0,0,0,0,0,0,0,0,0,0,0,3938.16,102.86,0,0,1660.81,12.74,117.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,88.54,206.04,0,48.26,0,193.58,0,0,0,0,0,25.72,0,0,0,0,0,0,0,0,0,0,0,2705.39,22.36,0,0,1215.31,12.37,46.41,14.11,183.35,0,0,0,0,0,0,0,0
 14-21,0,0.93,20.15,133.14,40.82,0,56.7,0,0,0,16.09,0,0,0,0,6.19,0,0,0,0,76.21,0,0,77.96,872.78,19.69,7.83,6.26,34.93,78.8,5.67,207.09,5.5,0,96.35,288.48,0,0,6.74,0,4.43
 24-34,0,0,4.95,47.31,7.77,0,176.26,0,0.75,1.06,33.53,1.76,0,2.57,3.37,2.09,3.99,1.95,1.91,0.62,164.77,2.14,0.69,77.33,1980.93,29.86,21.74,16.19,0,269.59,1.29,0,0.81,11.55,8.44,470.72,0,0,41.86,0,0.77
 36-46,0,0,0,74.59,4.27,0,542.79,0,0,0.97,35.16,0.57,0,2.18,4.92,0.67,6.09,2.16,0,0,183.55,2.45,1.85,79.07,1710.09,1.23,17.61,5.11,0,100.79,0,0,1.85,0,0,339.7,0,0,32.62,0,2.25
 48-58,0,0,0,77.88,8.3,0,841.1,1.51,2.52,1.96,63.65,0,0,1.9,9.1,0.67,3.87,0.48,0.57,0,154.86,1.55,3.59,33.2,952.99,5.35,3.42,2.78,0,34.91,0,0,4.97,0,0,129.82,0,0,23.29,0,2.35
 60-70,0,0,0,58.64,3.84,2.15,650.22,0,13.34,0,27.88,0,0,0,6.85,2.65,9.31,4.11,1.06,13.96,136.12,1.53,6.57,15.64,430.37,13.38,0.98,6.68,0,23.59,0,0,3.49,0,0,29.32,0,0,16.22,0,0
 72-82,0,0,0,36.79,5.95,1.86,202.88,1.11,0.81,1.05,25.09,3.93,0,0.51,2.82,0,0.75,1.34,0,0,92.81,3.12,16.08,24.13,267.53,0,4.06,4.11,0,16.11,0,0,0,0,0,11.83,4.29,0,17.44,0.52,1.1
 84-94,0,0,0,59.24,11.6,0,156.83,0,2.82,0,29.73,8.14,0,0.8,4.07,3.15,3.96,0,4.71,0,91.55,3.93,17.77,23.1,214.95,4.19,11.41,5.11,0,19.06,0,0,3.2,0,0,10.47,3.41,0,23.33,0,0
 96-106,0,0,0,28.8,16.99,1.52,145.69,0,0,0,14.58,10.41,0,5.59,6.11,2.34,3.11,2.16,2.19,0,45.98,2.03,1.74,7.64,233.47,1.89,1.54,7.55,0,13.67,0,0,2.6,0,0,5.09,0,0,18.88,0.68,0
108-118,0,0,0.74,27.89,17.23,5.22,195.55,0,3.89,1.49,40.17,13.29,0,0.63,22.67,0.41,0.85,0,3.88,0,75.75,0,12.46,15.76,328.02,2.74,5.25,3.71,0,17.17,0,0,1.89,0,0,10.94,2.18,0,11.58,1.13,0
120,0,0,0,13.99,16.79,3.41,187.86,0,0,0,36.13,7.38,0,1.54,26.48,2.81,0,0,0,0,71.53,0,0,9.6,310.17,0,0,7.1,0,5.51,0,0,1.22,0,0,22.64,0,2.68,10.98,0,0
