stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,3.74,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,23.97,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,5.19,0,0,2.64,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.3,82.25,3.92,0,16.22,0,0,0,0
 36-46,0,0,4.68,0,0,0,0,2.54,0,350.67,2.08,0,49.18,0,0,0,0
 48-58,0.82,0,12.93,0.69,2.68,0,0,0,0.41,580.28,1.7,0,99.43,0,0,6.19,0
 60-70,2.27,0,73.7,0,0.64,0.65,0,2.65,0,673.13,0.96,0,117.9,0,0,0,0
 72-82,0,0,51.91,0,5.32,0,0,7.67,0,639.11,6.69,0,128.77,0,0.63,0,0
 84-94,7.24,0,56.66,0,11.51,0.65,4.06,3.54,0.74,372.32,0,1.11,96.34,0,3.56,2.62,0
 96-106,13.22,0,22.65,0,11.22,0,0,0.71,0,337.34,5.1,0,16.88,0,0,0,8.09
108-118,3.51,1.08,28.77,0,10.73,0.85,0.42,0,0,249.32,0,0,17.34,0.89,0,0,0
120,0,0,29.48,0,19.32,0,0,11.21,2.35,594.98,0,0,34.16,0,0,0,0
