stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,172.93,3989.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,261.61,3147.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.63,10.41,0,0,8.94,0,44.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.16,17.35,0,13.27,0,0,0,31.76,0,0,0,0,0,18.16,0,0,0,0,0,0,0,0,0,0,678.59,39.23,0,0,207.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,4.62,0,0,0,23.32,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,139.63,0,0,0,47.17,0,4.05,0,0,25.4,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.61,0,0,16.66,0,0,0,1.14,0.92,0,0,0.9,0,0,0,0,1.23,0,0,1.04,70.62,6.67,0,3.84,0,0,0,0,2.95,1.08,0.93,11.6,38.29,0,0,0,0,0
 24-34,0,0,0.61,0.6,5,0,0,40.67,0,1.18,0,2.78,0,0,0,0,0,2.75,2.62,0,3.36,0,0,1.34,180.03,0,6.5,10.19,0,0,1.29,0,0,0,0,0,74.63,0,0,0.85,0,0
 36-46,0,0,1.03,0,2.5,0,0,78.78,0,0.74,0,11.05,0,0,8.3,0,0,0,36.82,0,3.15,0,0,0,249.69,0,4.01,3.4,0,0,3.93,0,0,0,0,0,112.56,0,0,0.77,0,0
 48-58,0,0,0,0,0,0,0,85.19,0,0,0,24.58,0,0,0,0,0,0.53,102.51,0,7.12,0,0,0,137.44,0,2.21,2.86,0,0,0,0,0,0,0,0,26.47,0,0,0,0,0
 60-70,0,0,0,0,0.7,3.33,0,135.32,3.43,1.57,0,168.51,0.85,0,0,0,0.76,0,308.01,0,4.52,0,0,0,103.2,0,18.66,0,0,0,0,0.64,0,0,0,0,13.02,0,0,0,0,0
 72-82,0,0,19.35,1.12,1.13,3.19,0,96.56,0,0,0.56,142.02,0,0,0,1.73,1.22,0,969.49,0,8.43,0,0.93,1.52,165.62,6.21,7.63,4.57,0,0,3.62,0,0,2.8,0.59,0,2.71,1.58,0,4.03,0.5,12.18
 84-94,0,0,3.68,0,1.24,22.58,8.78,67.9,0,1.32,0.91,137.36,8.47,0,3.1,2.61,0,0.67,2584.08,2.56,19.12,0,0,0.66,142.43,0,2.35,1.3,0,2.65,4.09,0,0,0.56,0,0,7.59,0,0,1.08,0,0
 96-106,0,0,4.88,0,19.78,12.66,0.64,119.64,0,2.93,10.74,201.83,9.85,0,2.96,2.44,0,0.63,2817.9,0,35.43,1.85,1.49,8.92,325.09,1.5,15.4,5.39,0,0,39.8,3.82,0,0,1.6,0,14.19,10.34,3.11,8.14,0,5.35
108-118,0,0,3.35,0,4.95,10.67,1.99,85.16,0.54,0.96,0,140.02,4.73,0,1.17,0,0,1.02,5013.39,1.18,62.27,3.95,0,1.94,335.44,0,18.67,10.57,0,7.04,17.92,0,0,1.54,2.93,0,9.36,7.63,0,6.76,4.78,7.33
120,0,0,39.36,0,23.6,4.05,0,108.16,0,0,0,81.57,0,0,5.06,0,0,0,2215.63,0,68.47,0,0,6.7,238.02,0,0,0,0,0,8.66,0,0,0,2.57,0,21.72,0,0,0,0,3.28
