stage,epidermis,eye,glial,neural,olfactory,paraxial_mesoderm,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,9.1,0,0
 14-21,1.3,0,0,0,0,0,0,0
 24-34,0,0,0,1.21,0,0,0,0
 36-46,0,0,0,1.06,0,0,4.22,0
 48-58,0,0.69,0,0.37,1.03,0,0,0
 60-70,0,0,0,6.31,0,0,0,0
 72-82,0,0.56,1.53,7.42,0,0,0,0.79
 84-94,0,2.35,0,0,0,0,0,0
 96-106,0,6.25,0,0,0,0,0,0
