stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,34.33,0,0,0,3.83,0,0,0,0,0
 14-21,0,1.43,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,3.07,2.45,0,0
 24-34,0,0.65,0,1.01,0,0.73,0,0,0,0,0.83,0,3.56,41.21,1.18,0,0.83,0,0,0,5.9,0,0
 36-46,0,0,0,1.17,0,13.06,0,0,0,0,2.49,0,0,67.48,0,0,0,0,0,0,18.75,0,0
 48-58,0,0,0,3.12,0.83,12.11,0,0,0,0,6.18,0,0.4,25.87,0,0,2.19,0,0,0,13.95,0,0
 60-70,0,0,0,4.92,0,21.27,0,0.57,0,0,4.44,0,0.89,10.31,0,0,0,0,0,0,7.73,0,0
 72-82,0,0,0,2.06,1.41,12.1,0,0,0,0,11.25,0,0.89,11.21,0,0,1.12,0,0,0,0,1.09,0
 84-94,0,0.86,0.86,8.13,0,10.68,0,0,0,0,8.81,0,0,3.45,0,0,0,0,0,0,1,0,0
 96-106,0,0,5.07,0,0,5.8,1.01,0,0,0.92,9.9,1.03,1.15,3.93,0,2.47,0,0,7.67,0,0,0,1.58
108-118,0,0,6.02,4.11,0,13.43,0,0,0,0,1.85,0,0.81,8.38,0.56,0.54,1.18,0,0,0,0,1.41,0
120,0,0,0,0,0,12.44,0,1.92,2.42,0,9.54,0,0,17.82,0,0,0,0,0,0,0,0,0
