stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,3423.87,38299.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744.8,0,0,0,0,0,0,0,0
  5-6,9221.19,111980.29,0,217.73,0,0,0,0,0,0,0,538.53,0,0,0,0,0,0,0,0,0,0,0,5958.93,233.03,0,0,2112.84,0,1251.75,0,0,0,0,0,0,0,0
  7-9,889.52,1411.19,0,2767.88,0,5.98,538.03,0,0,0,0,1062.01,0,0,0,0,0,0,0,0,0,0,0,31960.26,1422.64,0,0,28453.96,0,39.34,221.72,0,26.56,0,0,0,0,0
 10-12,0,1135.22,0,2412.77,0,30.83,271.85,0,0,0,0,43.5,0,0,0,0,0,0,0,0,0,0,0,21433.67,273.93,0,0,12557.81,0,12.41,57.51,8.56,3931.3,0,24.28,36.07,0,0
 14-21,8.31,17.36,5.74,260.74,2183.64,11097.19,148.61,4.21,0,222.07,442.54,0,6.69,5.59,128.97,0,2.55,5.41,0,826.45,10.56,0,562.69,7487.7,143.02,6.4,137.97,1526.03,0,247.88,1.3,2135.04,122.94,3.47,571.59,3871.57,45.59,0
 24-34,0,0,0.9,21.34,92.78,4374.11,146.82,3.72,7.61,68.94,30.67,1.15,7.91,5.26,30.86,4,12.59,11.62,0,177.03,3.01,0,105.59,3179.62,1.74,24.59,25.76,0,0,76.45,0,2.03,7.37,0,50.55,792.44,166.51,2.08
 36-46,0,0,0,0,35.72,1731.23,213.97,7.64,0,20.41,2.74,0,0.56,6.56,8.47,0,2.23,7.56,1.99,67,0.65,1.42,42.95,1170.05,0,25.33,3.1,0,0,36.09,0,1.78,7.37,0,0,331.56,26.69,0
 48-58,0,0,0,0.43,23.37,1248.64,146.07,4.76,2.46,18.42,2.51,0,0.47,1.1,1.07,0.4,1.31,0.43,6.3,47.29,0,2.95,20.08,327.48,0,2.19,4.92,0,0,4.22,0,0,0,0,0,52.76,29.13,0.62
 60-70,0,0,0,0,8.06,544.61,135.12,0,0,32.04,5.02,0,0,6.33,0,8.58,2.49,1.93,0,50.46,0,0.93,5.57,218.94,2,1.34,0,0,0,3.56,0,0,0,0,0,15.03,14.69,0
 72-82,0,0,0,0,0.54,583.12,52.25,0,4.68,33.75,1.78,0,0.89,4.31,2.14,0.52,0,0.66,0,18.37,0,1.44,10.62,122.1,0,3.2,6.41,0,0,3.33,0,0,0,0,0,15.22,15.69,0
 84-94,0,0,0,0,6.2,636.67,48.87,0,5.82,21.61,11.06,0,0.8,7.69,1.59,5.52,3.6,3.32,0,46.94,0.86,3.97,15.53,108.85,1.88,2.04,4.71,0,0,2.7,0,0,0,0,0,2.84,12.26,0
 96-106,0,0,2.24,0,6.25,1082.86,35.29,0,2.33,31.06,8.13,0,0.89,5.18,0,1.99,0,8.3,0,26.11,0,0,9.46,79.78,1.43,17.52,0.84,0,3.01,8.62,0,0,0.7,0,0,1.07,19.03,4.32
108-118,0,0,3.13,0,5.44,1113.01,44.74,0.77,3.21,16.46,3.56,0,0.47,6.18,0.75,1.25,0,6.27,0,51.61,0,0,4.63,103.37,0,1.06,2.71,0,1.06,6.23,0.79,0,0,0,0,0,18.8,0
120,0,0,0,0,4.91,971.33,53.33,0,6.63,28.71,2.8,0,1.54,1.09,0,0,1.3,0,0,94.98,0,3.51,14.2,124.58,0,0,5.23,0,0,1.09,0,0,0,0,0,3.15,27.9,0
