stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12629.28,206662.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5998.06,0,0,0,0,0,0,0,0,0,0
  5-6,13410.73,152200.2,143.85,0,0,0,0,0,0,0,189.06,0,0,0,0,0,0,0,0,0,0,2555.4,140.52,0,0,582.93,0,1544.34,0,0,0,0,0,0,0,0,0,0
  7-9,349.87,503.7,685.98,0,0,0,922.38,0,0,0,377.66,0,0,0,0,0,0,0,0,0,0,12442.76,354.02,0,0,5014.66,0,21.91,209.19,0,25.58,0,0,0,0,0,0,0
 10-12,0,197.21,251.12,0,142.68,0,249.13,0,0,0,56.64,0,0,0,0,0,0,0,0,0,0,2016.45,67.86,0,0,3905.02,0,3.1,67.64,74.9,408.93,0,4.51,0,0,0,0,0
 14-21,0,0,25.69,106.8,156.72,0,70.07,0,2.33,8.22,0,0,0,0.81,0,0,0,2.63,138,0,87.1,332.21,3.02,0,10.24,11.6,0,0,0,182.83,1.87,1.62,262.11,45.51,0,29.69,0,1.35
 24-34,0,0,8.59,21.37,12.26,0,21.93,0,0,6.88,0,0,0.6,0,0,6.99,4.35,0,134.97,0.91,35.19,100.06,1.19,0,4.57,0,0,0,0,0,0,0,20.84,5.79,0,108.58,0,0
 36-46,0,0,0.63,4.99,2.5,0,11.7,3.37,1.08,3.63,0,0,0,0,0,4.66,3.89,0,48.74,6.16,25.57,73.26,0,0,0.9,0,0,0,0,0,0,0,0,0,0,55.6,0,0
 48-58,0,0,0,3.26,0.69,0,0.87,0.4,0,2.72,0,1.63,0,0,0,1.83,3.78,0,25.87,0,6.45,54.98,0,4.14,0.4,0,0,0,0,0,0,0,0,2.36,0,30.73,0,0
 60-70,0,0,0,2.07,0.67,0,12.51,0,3.1,3.44,0,0,0,0,3.16,4.52,1.51,0,7.49,3.29,4.56,29.62,0,0,0,0,0,0,0,0,0,0,0,0,1.64,17.7,0.87,0
 72-82,0,0,0,0,0.68,0,7.15,1.59,1.64,0,0,0,0,0,0,4.23,10.34,0,14.29,3.44,3.88,13.52,0,0,0,0,0,3.17,0,0,0,0,0,0,0,13.47,1.27,0
 84-94,0,0,0,0,4.97,3.23,11.59,2.34,6.95,2.02,0,0,0,0,0,0.75,28.68,0,16.35,1.01,5.93,14.61,0,0,0,0,0,1.6,0,0,0,0,0,0,0.69,30.33,2.15,0
 96-106,0,0,0,1.31,0,0,11.95,0.8,0,0,0,0,0.6,0,0,1.92,0,0,7.66,0,5.04,4.83,0,0,0,0,8.2,0,0,0,0,0,0,0,0,4.46,0.68,0
108-118,0,0,0,1.87,1.17,0.62,9.67,0,2.41,1.38,0,0,0,0,0,6.5,8.2,0,12.8,2.15,8.47,14.51,0,0,0,0,0,0,0,0,0,0,0,0,1.3,12.53,0,0
120,0,0,0,5.7,0,0,0,0,4.9,0,0,0,0,0,0,10.21,3.05,0,4.73,0,8.5,15.03,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0
