stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,4057.13,73614.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2777.79,0,0,0,0,0,0,0
  5-6,2962.09,32226.67,0,48.89,0,0,0,0,0,0,0,37.91,0,0,0,0,0,0,0,0,0,777.42,10.41,0,0,105.26,0,418.72,0,0,0,0,0,0,0
  7-9,57.07,98.29,0,50.55,0,0,149.15,0,0,0,0,65.87,0,0,0,0,0,0,0,0,0,2018.56,71.11,0,0,826.71,0,0,427.19,0,0,0,0,0,0
 10-12,0,53.68,0,165.52,0,41.97,5.91,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,635.24,37.95,0,0,1388.02,0,0,125.46,0,246.35,0,0,0,0
 14-21,0,0,0,1.07,33.48,15.42,0,0,0,0,0,2.47,45.18,0,1.54,0,0,0,556.32,0,130.23,216.11,1.43,0,0,41.76,0,0,6.99,30.01,0,4.39,19.95,0,0
 24-34,0,0,0,11.63,1.36,1.02,0.67,0,0.67,2.82,0.66,0,6.05,0,0,0,0,1.22,139.95,0,10.55,154.49,0,5.21,0,0,0,0,0,0,0,0.62,41.94,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.14,0,0,1.3,0,0,0,0,0,27.18,0,0,125.69,0,1.45,0,0,0,0,0,0,0,0,45.05,0,0
 48-58,0,0,0,0,4.79,0,9.2,1.03,0.41,0.75,0,0,0,0,0,0,0,0,18.86,0.42,0,192.55,0,0,0,0,0,0,0,0,0,0,14.65,0,0
 60-70,0,0,0,0,0,0,40.72,0.94,0,1.06,0,0,0,0,0,0,0,0,19.06,0.71,0,238.25,0,0,0,0,0,0,0,0,0,0,12.4,0,0
 72-82,0,0,0.62,0,0.8,0,57.54,1.94,0,8.33,0,0,0.5,0,0,0,0,0,31.15,0,0.82,341.32,0,4.11,0,0,0,0.51,0,0,0,0,14.82,0,1.31
 84-94,0,0,0,0,2.39,0,34.46,0,0,6.18,0,0,0,0,0,1.96,1.82,0,17.71,0,0,265,0,0.71,0.86,0,0,0,0,0,0,0,2.91,0,0
 96-106,0,0,0,0,0,0,40.03,1.6,0,17.36,0,0,0,0,0,0,1.53,0,24.94,1.02,0,274.87,0,0.92,2.01,0,0,0,0,0,0,0,9.39,2.17,0
108-118,0,0,0,0,2.12,0,41.22,0,1.84,5.81,1.33,0,1,3.47,0,0,0.63,0,13.73,0,0,427.43,0,0,7.86,0,1.23,0.92,0,0,0,0,2.26,3.26,0
120,0,0,0,0,8.58,0,45.51,2.28,0,37.06,4.75,0,0,0,0,0,0,18.25,29.29,0,0,579.36,0,0,4.73,0,0,0,0,0,0,0,10.34,0,0
