stage,epidermis,eye,hatching.gland,mesenchyme,neural,spinal.cord
 14-21,0,0,0,0,1.38,0
 24-34,0,0,0,0,1.05,0
 48-58,0,0,0,0,3.04,0
 60-70,1.56,0.79,0,0.94,0.84,2.39
 84-94,0,0,0.99,0,0,0
108-118,0.97,0,0,5.23,0,0
120,0,0,0,0,8.41,0
