stage,axial,epidermis,eye,glial,neural,otic,spinal.cord,taste
 24-34,0,0,0,0,1.06,0,1.11,0
 36-46,0,0,0,0,14.19,0,0,0
 48-58,0,0,0,1.42,5.88,0,1.63,0
 60-70,0,0,0,0.6,5.17,0,1.24,0
 72-82,0,0,8.6,0.68,4.87,0,7.2,0
 84-94,0,0,1.65,0,2.73,0,0,0
 96-106,0,0,2.43,0,7.97,2.21,3.09,1.22
108-118,0,2.45,5.37,0,13.53,0,0,2.47
120,1.12,0,0,0,18.85,0,0,0
