stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,3.82,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0
 14-21,0,0,0,2.14,0,0,0,0,0,1.16,0,0,0,16.4,0,0,0,0,0.96,0,0
 24-34,0,0,0,39.6,0,0,9.24,0,0,5.28,0,0,1.6,182.91,0,0,0,2.17,11.51,0,0.79
 36-46,0,0,0,134.86,0,0,46.67,0,0,0,0,0,0,459.12,0,0,0,0,65.27,0,0
 48-58,0,0,0,151.72,1.1,1.55,116.23,7.78,0.48,2.12,0,0,5.32,338.73,0,0,0,0,72.87,0,0
 60-70,0,0.67,0,160.73,0,0,85.7,0,0,0,0.9,0,3.55,205.29,4.08,0,1.42,0,37.68,0,0
 72-82,0,3.16,0,41.9,0,0,48.83,0,0,0.58,0,1.17,0,83.58,0,0,0,0,8.06,0.87,0
 84-94,0,0,0,19.31,0,0,54.75,0,0,0,0,0,0,64.85,0,0,0,0,5.54,0,0.91
 96-106,0,0,0,7.76,0,0,22.59,0,0,0.56,0,0,0,37.78,0,0,0.57,0,2.98,0,0
108-118,0,0,0,37.31,0,0,18.25,0,0,0,0,0,0,35.4,0,0,0.79,0,0,0,0
120,0,12.27,2.63,17.26,0,0,42.6,0,0,0,0,0,0,80.18,0,0,0,0,1.98,0,0
