stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,43.31,0,0,0,0,0,0,0,0,0,22.56,0,0,0,0,0,0,0,0,0,0,0,24.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.13,1.95,38.23,0.83,0,0,0,0,0,1.72,1.33,5.23,0,0,0,0,0,50.11,0,0,0,0,0,3.72,1.85,0,0,0,0,0,0,0,0,194.24,0,0,1.78,0,0
 24-34,0,2.77,16.72,15.49,0,0,0.67,0,0,0,0,8.91,11.46,0,1.33,0.59,0,0,62.91,0,4.57,7.02,0.89,0,19.56,0,0,0,0,1.21,0,0,0,0.62,588.03,0,0,1.32,0,0
 36-46,0,2.83,3.06,8.26,0.58,0,2.43,0,0,0,0,38.16,0,0,27.24,0.68,0,0,56.62,0,0.99,2.6,8.23,0,100.02,1.25,0,0,0,0,0,0,0,0,559.13,0,0,8.47,0,0
 48-58,0,2.2,9.32,16.2,0,0,2.66,0,0,0,5.52,127.34,0,0.37,132.57,0,0,0,65.35,6.39,4.41,1.65,0,0.82,25.01,2.93,0,0,0,1.77,1.96,0,0,0,620,0,0,0,0,1.17
 60-70,0,23.28,15.53,25.06,0.74,10.75,20.73,0,0,0,5.78,1014.6,0.63,0,230.85,0.67,0,0,224.87,0,25.57,0,1.01,0,53.23,0,2.85,0,1.53,4.82,0,0,0,0,418.91,0,0,24.89,0,0
 72-82,0,362.47,9.5,57.52,6.71,21.88,116.27,0,2.85,5.45,28.71,2072,0,1.52,676.22,0,20.99,0,529.6,0,61.06,1.7,5.31,3.09,470.77,0,3.75,0.97,0,24.53,0,0,0,0,310.15,3.05,4.02,59.82,0.77,12.42
 84-94,0,526.29,109.28,96.86,26.48,36.16,188.73,2.25,4.3,0.93,34.71,10164.88,1.3,1.56,1355.39,1.65,4.7,3.71,1811.69,3.45,77.77,1.87,10.31,10.14,424.08,0.62,0,35.52,0,33.34,1.4,9.83,0,0,362.05,22.35,4.48,69.62,0,18.75
 96-106,0,1023.14,319.9,117.89,166.37,42.71,457.34,6.82,8.41,21.99,114.35,13036.6,0,3.37,1750.36,6.94,5.32,8.42,3403.54,4.52,316.48,32.37,11.21,24.43,2622.53,1.54,26.55,19.86,2.63,196.03,0,4.27,5.77,0,378.86,9.07,6.61,135.18,17.42,86.5
108-118,0,985.41,550.37,137.2,35.85,56.6,375.18,9.27,14.88,8.64,97.99,19110.44,0,1.35,1839.85,4.35,4.56,0.81,7520.32,8.37,267.92,172.33,20.91,19.71,2444.92,1.95,8.45,15.13,3.77,94.49,0,8.87,1.04,0,184.49,13.31,2.59,92.66,19.11,16.87
120,0,1737.43,137.2,142.04,24.09,11.2,340.94,1.51,1.88,1.6,115.36,8703.61,0,2.09,1391.82,4.3,1.01,3.9,4222.74,0,111.73,10.61,10.86,20.42,1448.26,0,25.86,11.07,0,65.34,0,90.14,1.99,0,115.95,10.23,5.39,49.62,0,61.84
