stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,172.42,1642.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.35,0,0,0,0,0,0,0,0,0,0
  5-6,171.09,2006.92,10.71,0,0,0,0,0,0,0,0,30.16,0,0,0,0,0,0,0,0,0,0,0,131.39,19.42,0,0,21.13,0,36.88,0,0,0,0,0,0,0,0,0,0
  7-9,118.98,44.37,73.7,0,0,0,101.88,0,0,0,0,84.84,0,0,0,0,0,0,0,0,0,0,0,1140.42,96.29,0,0,416.49,0,4.29,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,15.22,69.09,0,0,0,128.94,0,0,0,0,56.32,0,0,0,0,0,0,0,0,0,0,0,789.85,82.24,0,0,341.31,0,0,5.62,0,80.09,0,0,0,0,0,0,0
 14-21,0,0,2.73,16.97,2.75,0,3.79,0,0,4.29,1.07,0,0,0,0,0,0,0,1.54,16.4,0,0,4.11,105.21,17.04,2.88,2.76,3.79,0,14.5,0,18.88,1.49,0,9.54,53.12,0,1.8,0,0
 24-34,0,0,0.64,1.2,0.99,0,13.98,0,0,5.15,0,1.4,0.94,0,0.62,0,1.4,0,0,22.11,0,0,9.22,243.92,3.8,3.47,1.05,0,0,5.22,0,0,2.33,0,0.64,77.7,0,4.34,0,0.62
 36-46,0,0,0,1.16,0,0,68.15,0,0,6.8,0,0,0,0,0,0,0.61,0,0,29.36,0,1.94,11.09,389.77,0,1.61,0.63,0,0,3.26,0,0,0,0,0,98.95,0,0,0.78,0
 48-58,0,0,0,1.75,0,0,80.51,0,0.41,22.54,0,0,0,0,0.66,0,0.41,2.13,0,25.24,0.47,7.9,2.52,331.31,0.72,0,1.05,0,0.61,3.22,0,0,0,0,0,79.98,0,0.56,0,0.85
 60-70,0,0,0,2.85,0.63,0,156.29,0,0.91,30.73,0,0,0,0,0,0,0,0,0,29.93,0,1.32,0.68,368.12,0,2.92,5.85,0,0,0,0,0,0,0,0,47.19,6.29,1.03,0,0
 72-82,0,0,0,9.26,0.74,0,160.18,0,1.2,9.4,0,0,0,0,0,0,0,0.88,0,48.45,0,2.66,4.21,322.25,0,3.26,1.26,0,0,1.31,0,0,0,0.55,0,48.74,1.39,3.78,0,2.94
 84-94,0,0,0,1.66,0.85,0,96.65,0.83,0.62,17.48,0.73,0,0,0,0,0,0,0,1.78,53.43,0,2.56,4.74,217.7,0,0.78,0.58,0,0,3.43,0,0,0,0,0,28.8,0,0.86,0,0
 96-106,0,0,0,0.71,5.84,0,112.2,0,3.57,14.99,0,0,0,0,0,0,2.39,0,0,20.87,1.26,0.66,2.15,269.44,0,1.4,1.04,0,0,1.1,0,0,0,0,0,22.96,0.9,0.56,4.27,0
108-118,0,0,0.74,2.66,2.48,1.82,100,0,1.06,13.99,2.48,0,0,1.22,0.89,0,0,0.84,0,37.55,0.51,0,0.56,253.06,0,1.72,1.88,0,0,5.99,0,0,0.94,0,0,6.6,0,0.5,0,0
120,0,0,0,19.13,5.84,0,124.17,2.48,0,5.55,7.81,0,0,0,0,2.93,0,4.74,0,15.56,0,10.4,3.49,411.9,0,1.11,0,0,3.68,4.24,0,0,0,0,0,11.21,0,14.9,0,0
