stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,16.11,292.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,255.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.68,0,0,0,0,0,0
  7-9,0,0,0,4.62,0,0,0,22.83,0,0,0,0,3.2,0,0,0,0,0,0,0,88.22,0,0,0,24.77,0,0,0,0,0,0,0
 10-12,0,4.98,0,0,0,0,0,23.25,0,0,0,0,0,0,0,0,0,0,0,0,57.88,0,0,0,27.49,0,0,8.7,0,0,0,0
 14-21,0,0,1.24,0.93,3.64,1.65,0,1.82,0,0,0,0.9,0,0,0,0,0,4.19,0,0,34.54,2.05,0.86,1.29,2.56,4.76,9.76,0.91,0,4.74,6.34,0
 24-34,0,0,0,0,0,0,0,2.03,0,0.68,0,0.63,0,1.44,0,0,0,7.29,0,3.47,42.13,0,0.96,0,0,0,0,0,0,1.89,10.78,7.25
 36-46,0,0,0.95,0.63,0,0,0,7.61,0,0,0,0.76,0,0,0,0,0,8.34,0,0.69,42.92,0,0,0,0,1.87,0,0,0,0,15.73,0.57
 48-58,0,0,0,0,0,0,0,5.01,0,0,0.5,0,0,0,0,0,0,4.1,0,0.39,24.78,0,0,0,0,0,0,0,0,0,2.47,0
 60-70,0,0,0,0,0,0,0,14.61,1.99,0,3.57,1.62,0,0,0,0,0,6.05,0,0.72,33.82,0,0,0,0,0,0,0,0,0,2.08,3.07
 72-82,0,0,0,0,0,0,0,6.33,0.56,0,2.07,0,0,0,0,0.61,0,4.07,0,0,7.05,0,0,0.5,0,0,0,0,0,0,0,1.91
 84-94,0,0,0,0,0,0,0,26.31,2.24,0.72,0,2,0,0,1.82,0.56,0,6.58,1.36,0.58,13.59,0,3.65,0,0,10.83,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,4.01,2.39,0,0,7.14,0,0,0,0.62,0,5.85,0,0,1.31,0,0,0,0,0.57,0,0,0,0,0,0
108-118,0,0,0,0,1.5,0,1.22,11.31,0.45,0,0,3.82,0,0,0,0,0.58,12.28,2.24,2.06,21.9,0.44,0,0,0,7.14,0,0.54,0,0,0,0
120,0,0,0,0,0,0,13,1.38,0,3.34,0,4.05,0,0,0,0,0,3.42,0,1.11,18.99,0,0,1.74,0,2.37,0,0,1.52,0,0,0
