stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,41.08,1089.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.67,0,0,0,0,0,0,0,0,0,0
  5-6,11.88,415.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.29,0,0,0,0,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.14,14.46,0,0,39.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.91,8.56,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.33,0,0,0,12.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,80.46,261.16,0,3.45,0,1,0,1.81,0,1.66,3.01,0,0,1.16,1.14,0,0,0,15.39,0,0,0,0,0,0,0,2.91,37.32,1.02,20.53,0,0,18.89,0,0
 24-34,0,0,0,96.3,90.73,0,2.2,0,25.29,0,0.63,0.67,9.93,31.41,0,0,1.67,3.27,0.69,0,1.36,45.79,0,0,0,0,0,0,0,0,82.95,0,12.26,0,0,271.78,0,0
 36-46,0,0,0,57.46,7.15,0,2.25,0,15.83,0,6.9,0.63,6.91,9.68,0,0.88,8.69,1.58,0,0,0.59,50.53,0,0,0,0,0,0,0,0,55.62,0,17.44,0,0,219.55,0,0
 48-58,0,0,0,33.02,18.97,0,0,0,38.18,0,1.15,0.47,8.51,23.13,0,0,12.31,0.74,0,0,0,48.86,0.57,0,0,0,0,5.71,0,0,50.99,0,6.05,0,0,157.25,0,0
 60-70,0,0,0,21.37,31.68,0,6.8,0,39.33,0,0.92,1.82,18.16,8.35,0,0,7.61,14.07,0,0,0,9.07,0.68,0,0,0,0,0,0,0,36.87,0,8.05,0,0,131.81,0,0
 72-82,0,0,0,21.8,166.71,0,4.42,2.8,18.15,1.41,6.65,1.97,12.01,20.08,0.75,0,7.98,13.54,0,0.68,0,24.57,2.12,0,0.56,0,3.94,4.55,0,0,43.45,0,0,0,0,224.09,0,2.8
 84-94,0,0,0,35.01,147.28,0,4.08,0,37.4,0.94,0,4.92,5.08,48,10.15,0,22.09,18.13,0,1.99,0,12.18,3.01,0,0,0,2.63,1.45,0,0,55.13,0,0,0,0,237.13,0,0
 96-106,0,0,0.72,40.72,241.53,3.58,6.28,0.64,26.22,0,0,1.53,22.74,49.95,0.58,0,18.81,31.86,4.35,4.75,0,47.44,3.34,0.89,1.34,0,16.29,2.09,3.39,0,48.54,0,0,0.84,0,240.98,2.3,0
108-118,0,0,0.61,36.95,104.37,3.62,5.76,0,35.9,0,0,1.25,2.83,50.35,0.68,0,29.71,35.06,1.27,0,0,39.43,4.23,0,0.88,0,7.11,1.09,0,0,50.81,0,0,2.4,2.05,251.61,3.16,0
120,0,0,0,47.32,164.47,3.02,5.52,0,57.11,0,0,4.48,3.24,88.19,6.81,0,30.32,25.54,0,11.86,0,16.49,4.45,0,0,0,6.25,0,0,0,58.01,0,0,0,0,308.84,0,0
