stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,melanocytes,mesenchyme,mural.cell,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature
  7-9,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,10.15,0.87,0,0,0,0,10.53,0
 24-34,0,0,0.81,0,0,0,0,0,0,0,196.93,0,1.24,0,0,2.18,42.99,0
 36-46,0,0,0,0,19.91,0,9.06,1.33,0,0,404.27,0,0,0,3.62,0,45.12,0
 48-58,0,0,0,0,39.14,0,11.04,0,0,0,446.26,0,0,0,0,0,57.91,0.44
 60-70,0,0,0,1.01,48.73,1.4,6.45,0,0,0,498.02,0,1.02,0,1.74,0,31.83,0
 72-82,0,0,0,2.91,37.98,0,3.32,0,7.16,0,338.92,0,0,0,0,0,37.7,0
 84-94,0,0,0,0,15.19,0,3.52,0,2.07,0.6,226.58,0,0,0,0,0,10.18,0
 96-106,0,0,0,0,10.15,0,3.21,0,1.81,0,147.76,0,0,0,9.2,0,2.98,0
108-118,0,0,0,0,13.92,0,8.74,0,2.04,0,159.61,0,0,0,0,0,3.35,0
120,0,0,0,0,4.2,0,1.97,0,4.59,0,337.07,0,0,1.28,0,0,21.1,0
