stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,5.33,0,0,0,0,0,0,0
 14-21,0,0,22.78,1.06,0.97,0,0,0,1.21,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,1.45,0.96,0,0,0,0
 24-34,0,0,98.57,0,1.06,1.04,0,0.8,0,0,0,0,0,0,0.64,0,0.67,0.59,29.66,0,0,0,0,0,8.07,0,0,4.75,0
 36-46,0,0,118.36,0,1.77,10.57,0,4.03,0,0,0,0,0,0,0,3.78,2.44,0,11.53,0,1.42,0,0.62,0,5.39,0,0,0,0
 48-58,0,0,147.25,0,4.43,12.66,0,4.59,1.99,3.95,0,0,0,0,0,3.2,0.52,0.43,45.13,2.32,0,0,0,0,8.36,0,0,5.42,0
 60-70,0,0,163.26,0,6.18,40.52,0,4.43,11.69,0,0,0,0,0,0,2.03,1.91,0,33.78,0,1.03,0,0,0,3.89,0,0,0,0
 72-82,0,0.5,96.72,0,30.17,27.99,0,1.49,17.08,0,0,0.53,0,0.76,0,2.84,0.71,0,23.02,0,0,0,0,0,12.51,3.4,0.81,1.92,0
 84-94,0,0,183.05,0,9.15,38.77,0,3.35,33.41,0,0,1.42,0,0.6,0,3.05,0.71,0.71,21.19,0,0,0,1.58,0,3.65,0.71,0,1.23,0
 96-106,0,0,171.79,0,10.06,29.11,0,6.8,26.72,0,0.91,2.12,0,0,0,10.51,0,1.04,14.27,0,3.72,0,0,0,0,0,0,0.66,0
108-118,0,0,146.27,0,10.27,63.66,1.27,5.65,44.74,0,0,2.05,0.81,1.87,0,4.05,0,0,13.95,0,1.5,0,2.1,0,0,1.73,0,1.44,0
120,0,0,185.6,0,8.8,37.11,0,0,44.02,0,4.88,1.07,0,4.14,0,0,2.21,0,22.69,0,0,0,0,0,0,0,0,0,9
