stage,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,7.15,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.76,0,0,0,0,0,0
 14-21,1.16,0,2.19,0,0,0,14.6,0,0,0,0.86,3.12,0
 24-34,0,2.41,0,0,0,0,46.62,0,2.16,1.6,0,0,0
 36-46,0.94,22.99,1.03,0.56,0,0,193.24,0,6.62,0,0,9.94,0
 48-58,0,34.85,0.59,2.41,0,2.69,178.13,0,1.98,0,0.54,3.5,0
 60-70,0,96.18,0,1.48,0,0,230.45,0,0.88,0,0,12.03,0
 72-82,0.82,94.95,3.31,6.92,0,0,294.96,0,0,0,1.39,3.84,0
 84-94,0,46.21,3.48,3.77,0,0,85.57,0,1.28,0,1.2,1.73,0
 96-106,0,47.3,0,2.86,0,0,70.11,0,0.56,0,0.62,1.03,1.68
108-118,0,73.49,8.87,9.62,0.45,0,184.63,0,1.62,0,0.51,0,1.33
120,0,33.7,4.45,6.17,0,0,108.57,0,4.01,0,0,0,0
