stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,28.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,142.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,0,9.63,0,0,19.18,0,0,0,0,0,0,0,0,0,72.01,0,0,0,26.82,0,0,0,0,0,0,0,0
 10-12,0,6.18,0,0,0,16.38,0,0,0,0,0,0,0,0,0,82.42,21.74,0,0,25.68,0,0,0,0,0,0,0,0
 14-21,0,0,0.95,2.9,0.81,3.64,0,3.5,0,0,0,0,1.92,0,2.65,41.74,1.79,0,0,0.82,1.07,0,5.94,2.68,22.86,0,0,0
 24-34,0,0,0,0.62,0,2.21,0,3.03,0,0,0,0.66,3.88,0,0,46.57,0.61,0,0,0,0.71,0,0,0,11.4,0,0.74,0
 36-46,0,0,0,0,0,11.06,0,2.03,0,0,0,0,2.77,0,0,35.52,0,0.93,0,0,0,0.81,0,0,3.62,0,0,0
 48-58,0,0,0,0,0,19.69,0,0,0,0.37,0.55,0,3.06,0.4,0,28.63,0,0,0,0,0,0.65,0,0,8.49,0,0,0
 60-70,0,0,0,0.71,0,24.03,0,3.04,0,0,0,0,5.4,3.88,0,20.16,0,1.08,2.77,0,0.9,0,0,0,4.13,0,0.92,0
 72-82,0,0,0,0,0,6.14,0,0.52,0,1.67,0,0,4.68,0,0,24.46,0,0.53,0,0,4.35,0,0,0,0,0,1.74,0
 84-94,0,0,0,0,0,11.13,0,1.74,0,0,0,0,7.84,0,0.66,16.91,0,0,0,0,0,0,0,0,0.67,0,0.93,0
 96-106,0,0,0,5.72,5.88,29.57,0,0,0,0,0,0.63,12.7,0,0,23.27,0,0,0,0,3.89,0.64,0,0,0,0,0.73,0.76
108-118,0,0,0,1.29,0,11.18,0.48,5,3.6,1.08,1.11,0,9.08,0,0,27.36,0,2.53,0,0,3.22,1.42,0,0,0,0.71,0,0
120,0,0,0,0,0,39.97,4.8,8.68,0,0,0,0,7.49,0,0,54.61,0,0,0,0,0,1.53,0,0,0,0,2.5,0
