stage,eye,glial,gut,neural,spinal.cord
 24-34,0,0,0,15.79,1.29
 36-46,8.1,0,0,5.64,0.99
 48-58,6.3,0,0,4.67,4.76
 60-70,0.89,1.47,0,23.66,0
 72-82,0.84,0,0,17.64,0
 84-94,7.77,0,0,5.24,0
108-118,0.56,0,0.86,0,0
120,0,0,0,27.38,12.17
