stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,114.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,113.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.4,0,7.82,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,20.45,3.27,0,0,64.45,0,0,0,0,0,0,0,0
 10-12,0,0,10.47,0,0,0,0,0,0,16.59,0,0,0,0,0,0,0,0,0,37.32,17.28,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0.87,1.02,0,0,0,0.95
 24-34,0,0,0.79,1.25,1.68,5.3,0,0,0.73,0,0,0,0,0,0.68,23.83,0,0,0,3.68,0,1.14,1.34,0,0,4.63,0,0,1.45,0,0,5.82
 36-46,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,38.97,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0.66
 48-58,0,0,0,0,0,0,0,11.71,0,0,0,0,0,0,0,8.74,0,0,0,1.65,0,0,0.42,0,0,0.53,0,0,1.27,0,0,0
 60-70,0,0,0,0,0,2.13,0,514.64,0,0,0,0,0.62,0,0,0,0,0,0,0.97,0,0,0,0,0,3.47,0,0,0,0,0,0
 72-82,0,0,0,6.26,6.35,11.02,0,1885.23,0,0.65,0,0,2.31,1.95,0,1.45,0.8,0,0,22.29,0,0,0,0,0,1.9,0,0,2.07,0,0,0
 84-94,0,0,0,5.13,0,5.11,0,2380.88,0,0,0,0,1.16,0,0,0,39.06,1.71,0,5.78,0,0,1.04,0,0,3.18,0,0,0,0,0,4.19
 96-106,0,0,0,8.97,20.66,179.49,1.3,2281.2,0,0,8.33,0,0,0,11.29,0,15.37,0,1.22,52.79,0,1.73,2.82,0,0,4.21,0,0,5.26,1.88,3.39,3.1
108-118,0,0,0,6.77,5.39,73.61,0,4385.17,0,0,2.16,4.26,1.35,0,1.35,0,17.79,0,0.92,29.68,0,0,3.59,0,2.03,3.34,0.42,0,0,2.38,0,5.59
120,0,0,0,2.67,11.27,49.6,0,6145.26,0,0,7.03,4.02,0,0,0,0,10.63,0,3.92,110.71,0,3.5,0,0,0,5.58,0,0,99.83,6.24,9.39,21.03
