stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,355,9577.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.95,0,0,0,0,0,0,0,0,0,0
  5-6,570.04,7556.44,0,16.81,0,0,0,0,0,0,0,0,39.22,0,0,0,0,0,0,0,0,0,0,0,470.45,15.43,0,0,90.27,0,80.84,0,0,0,0,0,0,0,0,0,0
  7-9,205.07,169.49,0,293.12,0,0,0,423.71,0,0,0,0,188.61,0,0,0,0,0,0,0,0,0,0,0,5471.45,157.17,0,0,2098.54,0,7.81,29.78,0,0,0,0,0,0,0,0,0
 10-12,0,240.18,0,198.76,0,10.6,0,338.21,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0,3647.96,37.27,0,0,1597.33,0,7.62,12.75,0,244.29,0,6.57,0,0,0,0,0
 14-21,0,1.44,0,13.19,92.5,43.42,0,81.88,0,0,32.07,5.25,0,0,1.05,7.54,0,0,0,0,95.48,0,0,56.38,1191.14,9.76,3.01,15.28,33.41,0,19.02,1.12,119.4,6.84,86.02,336.49,0,0,7.22,0,0.84
 24-34,0.88,0,0,0.65,20.89,10.56,0,260.21,0.7,1.39,27.04,0.71,1.15,1.99,4.47,4.14,0.64,3.19,5.07,0,150.41,0,3.25,50.22,1647.79,1.8,7.63,12.16,0,0,14.15,0,1.03,1.51,9.08,269.5,0,0,21.67,0,4.56
 36-46,0,0,0,0,26.77,1.23,0,497.94,0.68,2.33,23.07,0.72,0,1.38,2.6,0,2.96,1.45,1.87,0,128.01,0,1.27,30.87,857.05,3.9,3.87,1.31,0,0,14.76,0,3.29,1.31,0,158.88,0,0,8.89,0,0
 48-58,0,0,0,0,24.66,0.37,0,507.25,1.46,2.77,30.69,2.59,0,2.93,8.3,4.42,10.46,0.97,0.38,0,111.06,0,14.51,25.86,371.16,0.91,2.15,2.14,0,0,1.9,0,0,1.86,0,44.18,0,0,1.7,0.65,5.72
 60-70,0,0,0,0,34.74,0,0,314.19,4.81,12.59,38.26,4.05,0,0,0,0,0,1.57,0,4.38,102.61,0,4.57,9.01,235.94,0,0,0,0,0,2,0,0,0,0,13.53,0,1.56,4.07,1.79,7.79
 72-82,0,0,0,0,6.44,1.07,0,95.33,0,12.28,26.46,2.48,0,0.54,4.34,3.82,8.24,0,0,0,91.01,0,4.96,9.89,136.32,0.5,2.98,1.38,0,1.51,1.72,0,0,0.66,0,1.78,3.36,0.85,8.19,1.5,6.9
 84-94,0,0,0.6,0,22.29,2.07,1.39,96.64,0,1.51,36.6,1.43,0,2.51,3.59,1.89,3.6,0.67,0,1.11,112.73,2.96,5.63,7.12,104.41,0.74,0,5.94,0,0,6.5,0,0,0.92,0,3.96,1.85,0,11.33,2.24,0
 96-106,0,0,0,0,14.26,4.62,0,81.42,0.76,1.98,40.85,1.31,0,3.34,6.58,0.98,0.95,0,1.75,0,81.59,0,2.04,7.77,104.66,0,0.81,9.81,0,0,9.24,0.93,0,0,0,4.8,0,0,3.08,3.01,0.85
108-118,0,0,0,1.37,16.23,6.22,4.03,102.95,0.67,3.17,33.47,4.36,0,0.47,5.82,2.22,2.61,0,1.2,0,83.85,0,2.45,11.05,134.54,7.8,2.36,7.96,0,2.29,15.99,0,0,1.06,0,1.5,1.5,0,13.37,3.06,1.43
120,0,0,0,0,21.97,6.78,1.6,150.53,1.01,0,86.51,1.8,0,1.15,17.6,1.1,8.12,1.76,0,0,97.44,1.59,0,8.74,219.8,2.68,6.14,6.52,0,0,6.1,0,0,0,0,3.88,0,0,7.49,7.78,0
