stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,4.43,0,0,3.96,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0,0,0,7.47,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,2.37,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,1.46,0.62,0,0,20.86,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,9.72,0,0,0,0
 48-58,0,0,0,0,0,0,1.91,0,0,0.47,0,0,0,7.82,0,3.56,0,0,0,4.01,0,0,0,0
 60-70,0,0,0,0,0,0,1.07,0.99,0,3.76,0,0,0,1.49,0,0,0,0,0,6.94,0,0,0,7.78
 72-82,0,0,0,0,1.75,0,7.14,0,0,3.29,0,0,0,0,0,1.23,0,0,1.26,5.75,0,0,0.6,0
 84-94,0,0,0,0,0,0,8.16,0,0,1.23,0,1.04,0,0,0,5.89,0,0,0,12.85,0,0,0,0
 96-106,0,0,6.56,0.97,1.4,0,12.73,0,0,6.14,10.73,9.66,0,21.84,0,0.63,0,0,2.87,19.48,0,0,0,0
108-118,0,0.95,0,0,0.67,2.14,20.83,1.09,0,10.15,0,0,0,15.46,0,0.93,0,0,0,16.17,0,0,0,0
120,1.66,2.53,0,0,1.44,0,25.41,0,1.4,7.07,0,0,1.43,13.9,0,10.58,0,0,0,22.87,0,1.52,0,0
