stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.27,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.41,0,0,0,29.66,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0,0,0,0,0,0,0,0,13.24,0,0,0,0,0
 24-34,0,0,0,3.85,0,0,3.12,0,0,0,1.25,0,0.62,0,3.21,0,0,0,0,1.77,0,0,0,959.54,0.73,2.14,0,0,0,0,0,0,96.43,0,0,3.76,0,0
 36-46,0,0,0,9.04,0,0,49.9,0,4.59,0,6.26,0,0,0,0,0,0,0,0,0,0,0,1.94,3497.05,0,1.54,0,0,0,0,0,0,118.11,0,0,0,0,0
 48-58,0,0,0,5.94,0,0,350.05,0,0,1.14,25.88,0,0.64,3.11,0,20.04,0,2.89,0.57,15.86,0.53,0,2.99,6851.45,0,7.2,0,0,0,7.62,0,3.16,139.16,0,0,0.77,0,0
 60-70,0,0,0,10.34,0.59,0,2528.31,1.47,12.5,2.41,92.72,0.85,0.61,0,0,1.16,0,4.85,0,55.75,0,0,4.13,14995.94,1.36,1.19,0,0,0,19.21,0,1.71,197.1,0,0,8.01,2.76,14.51
 72-82,0,1.96,0,59.48,13.35,0,5051.71,0,2.48,7.18,258.66,5.9,0,1.03,0,0,0,0.96,0,97.24,9.61,0,1.56,20652.86,3.31,12.41,8.34,0,0.89,21.6,1.36,3.1,204.37,2.03,4.11,26.02,1.37,18.79
 84-94,0,1.29,0,124.25,8.02,0,4214.1,2.41,4.11,1.41,180.69,3.95,0,0.65,0,27.17,2.76,0,2.21,118.1,1.81,11.96,14.95,13884.08,0,0.55,0.88,0,0,15.34,3.22,0,138.22,6.27,9.43,7.17,1.15,7.94
 96-106,0,0,0,80.64,22.64,0,4912.51,2.78,16.14,1.89,203.89,5.78,1.68,6.37,4.42,6.3,1.2,17.04,0,61.62,2.18,4.05,14.21,13666.1,0.81,1.14,7.99,0,0,28.61,0,0,92.78,0.63,5.98,3.34,6.38,16.89
108-118,0,0.76,0,81.55,5.47,0,4406.92,2.77,6.93,1.5,281.11,3.91,1.49,4.6,1.01,5.15,0.45,3.87,0,78.58,0.67,3.6,1.35,14452.88,0.8,9.24,2.8,0,0,6.39,0.59,0.41,122.57,1.68,0,13.33,0,6.41
120,0,0,0,186.87,7.35,1.8,3937.5,12.08,3.79,0,395.19,0,0,28.77,2.43,0,0,2.93,0,117.44,0,0,3.28,22557.71,0,13.07,1.47,0,12.35,16.41,3.57,0,252.24,0,1.46,15.61,7.07,0
