stage,epidermis,eye,glial,gut,heart,ionocyte,lateral.line,melanocytes,mesenchyme,neural,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,1.73,0,0,0,0,0,0,1.13,1.25,0,0,0
 24-34,0,0,0,0,0,2.47,0,0,7.09,6.39,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,7.23,1.4,0,0,0
 48-58,0,0,3.22,0,0,0,0,0,0,10.22,2.61,0,0,0
 60-70,0,1.6,0,0,0.59,0,0,0,0,13.22,0,0,2.6,0
 72-82,0,2.29,0,0,0,0,0,0,0,19.1,0,0,0.89,0
 84-94,0,2.44,0,3.76,0,2.38,0,0,0,7.13,0,0,0,0
 96-106,0,1.22,3.87,8.96,0,0,0.75,0.65,0,0,1.22,0,0,0
108-118,0,2.67,0,33.43,0,0,0,0,0.86,2.84,0,0.71,0,1.68
120,4.42,0,6.92,31.76,0,0,0,0,12.41,0,0,0,0,0
